sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, propertycategorisation, auction_activity_auctiontotalsold, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
509000.0,1004000.0,800000,700000,12,137500,520,460,590000,707500.0,590000,11831,860000.0,11833,860000,680000,"House",3545.0,500000,1150000,660,1000000,4959.0,2741,95.0,null,900000.0,7149,700,"31/12/2014 12:00:00 AM",430000.0,600,984061.9,6888,1778701.0,420,79,1250,485,66.0,622500.0,551.5576,850,400,1212000.0,1500000.0,550000,589.4109,1650000,0.07032957,11831,340,0.03325582,206,5317,900000,4500,533.0,667000.0,355000,1300000,256.2786,650000,5317,"Melbourne - Inner",860000.0,1212000.0,780000,745000.0,7222,"SA4_16206",620000,5.353613E9,572000.0,1340000.0,375,750,7.899092E9,1100000.0,787892.3,0.736088,945000.0,1167.0,821000.0,550.0,1000000,6973321.0,750000.0,975,2525000.0,2014,3012.0,925781.3,450,"VIC",660,500,750000,430000,1116967.0,550,780000.0,550,1104923.0,2500000.0,4816.0,62.0,107.0,1006886.0,630,384,2.743125E7,580,32,450,7149,2.33E7,667000.0
642000.0,1307500.0,900000,790000,12,318000,470,420,670000,835000.0,670000,5865,1030888.0,5868,990000,750000,"House",3321.0,600000,1350000,650,1200000,4295.0,2733,52.0,null,1120000.0,6196,690,"31/12/2014 12:00:00 AM",545000.0,560,813929.8,6423,2170000.0,391,80,50,440,32.0,755000.0,521.2130000000001,850,380,1520000.0,1860000.0,640000,561.5702,1890000,0.06459033,5865,335,0.02496136,207,4464,1050000,2600,553.0,798888.0,465000,1600000,251.4356,720000,4464,"Melbourne - Inner East",1031194.0,1520000.0,875000,875000.0,6250,"SA4_16207",696505,4.929392E9,705000.0,1680000.0,360,750,7.898663E9,1400000.0,909465.8,0.7843646,1211000.0,878.0,970000.0,495.0,1200000,3293609.0,825000.0,1050,2690000.0,2014,2768.0,1116679.0,400,"VIC",650,450,825000,550000,2318408.0,510,920000.0,495,1274800.0,2500000.0,4234.0,58.0,66.0,1104254.0,595,316,1.47E8,540,78,400,6196,1.750568E7,798888.0
525000.0,1105000.0,850000,720000,12,111111,500,445,580000,721000.0,580000,6489,905000.0,6493,900000,690000,"House",3501.0,500000,1150000,700,1050000,4794.0,3080,70.0,null,965000.0,7077,750,"31/12/2014 12:00:00 AM",455000.0,620,722793.4,7227,1800000.0,400,81,1300,455,44.0,638000.0,560.5377,950,385,1280000.0,1550000.0,548625,617.7493,1600000,0.06597514,6489,330,0.03016574,208,5639,980000,4000,624.0,676000.0,380000,1325000,333.8939,650000,5639,"Melbourne - Inner South",905000.0,1280000.0,800000,765000.0,7146,"SA4_16208",605982,5.447756E9,590000.0,1397200.0,360,825,7.763003E9,1195000.0,799652.6,0.7662508000000001,1030000.0,973.0,851000.0,525.0,1050000,4008575.0,760000.0,1250,2370000.0,2014,2877.0,953576.9,420,"VIC",700,480,760000,450000,1574913.0,550,805000.0,525,1096934.0,2044875.0,4569.0,62.0,117.0,966085.4,650,435,1.0E8,590,12,420,7077,1.088E7,676000.0
357200.0,595000.0,408000,378300,12,140000,350,330,340000,430000.0,340000,8507,520000.0,8508,425485,367900,"House",2350.0,319950,500000,400,475000,3587.0,4484,93.0,null,542800.0,7354,420,"31/12/2014 12:00:00 AM",339000.0,380,307279.2,18012,860000.0,315,82,4000,330,37.0,392500.0,362.5094,470,305,664500.0,762000.0,330000,371.3447,630000,0.0627996,8507,280,0.035,209,16619,449000,2500,375.0,410008.0,280000,555000,91.91393000000001,358500,16619,"Melbourne - North East",520000.0,664500.0,398174,450000.0,7382,"SA4_16209",350000,7.39085E9,375100.0,705950.0,300,440,4.335455E9,625000.0,411815.2,0.682148,570000.0,954.0,500000.0,350.0,475000,3159029.0,389000.0,520,1090000.0,2014,1975.0,542549.7,320,"VIC",400,340,389000,303945,248153.1,360,475000.0,350,589537.1,780000.0,3445.0,80.0,129.0,444722.9,390,985,7437500.0,370,69,320,7354,5500000.0,410008.0
333000.0,520000.0,412100,379000,12,120000,340,320,338824,390000.0,338824,6308,460000.0,6314,427201,367590,"House",1454.0,314854,490490,380,462506,2354.0,3237,90.0,null,477000.0,5553,400,"31/12/2014 12:00:00 AM",317000.0,365,244395.5,13767,730000.0,310,83,8800,330,41.0,360000.0,354.0913,450,300,579000.0,665300.0,328000,361.4073,600000,0.06097938,6308,280,0.03956522,210,12999,443353,3622,407.0,375000.0,270000,540000,101.0582,358390,12999,"Melbourne - North West",460000.0,579000.0,400000,406000.0,5572,"SA4_16210",349000,6.237326E9,345000.0,617500.0,300,410,2.837528E9,550000.0,405878.3,0.6442180000000001,500000.0,700.0,440000.0,350.0,462506,2279757.0,389900.0,485,855000.0,2014,1047.0,478888.3,320,"VIC",380,335,389900,298400,5132111.0,350,422000.0,350,510990.1,740000.0,2257.0,95.0,84.0,479831.2,370,1125,5.85E8,360,29,320,5553,5709000.0,375000.0
390000.0,625000.0,540000,480000,12,90000,375,350,400000,471000.0,400000,6031,552250.0,6040,560000,457000,"House",1579.0,370000,650000,435,620000,2159.0,6117,54.0,null,579000.0,8878,450,"31/12/2014 12:00:00 AM",358000.0,410,251119.9,10399,852000.0,340,84,31000,360,28.0,435000.0,389.3551,500,330,685000.0,775000.0,390000,398.8587,790000,0.06088339,6031,290,0.03577928,211,9716,590000,1733,332.0,451000.0,310000,700000,97.26595999999999,440000,9716,"Melbourne - Outer East",552275.0,685000.0,515000,490000.0,8920,"SA4_16211",420000,5.355279E9,412500.0,725000.0,310,470,5.357249E9,650000.0,510300.6,0.7573141,600000.0,400.0,530000.0,380.0,620000,2405517.0,490000.0,550,990000.0,2014,1247.0,567780.9,350,"VIC",435,365,490000,350000,311506.7,390,510000.0,380,603429.6,920000.0,2085.0,55.0,96.0,551181.4,420,818,1.3965E7,400,38,350,8878,4400000.0,451000.0
335000.0,562000.0,420844,386400,12,145000,350,330,341500,395000.0,341500,13378,470000.0,13384,440000,375100,"House",2135.0,316000,520000,410,484310,3199.0,7741,107.0,null,499900.0,11670,430,"31/12/2014 12:00:00 AM",313500.0,390,326604.8,28033,920000.0,310,85,8018,340,57.0,365000.0,368.4507,490,300,665000.0,816000.0,330000,379.0284,660000,0.05569718,13378,270,0.03982979,212,26044,457970,2350,470.0,380000.0,270000,575000,99.94515,363800,26044,"Melbourne - South East",470000.0,665000.0,408624,415000.0,11725,"SA4_16212",351000,1.190382E10,350000.0,735000.0,290,450,6.698849E9,605000.0,419366.4,0.7050859,529900.0,727.0,450000.0,360.0,484310,5070642.0,396482.0,550,1150000.0,2014,1665.0,518197.8,320,"VIC",410,350,396479,299000,552492.8,370,430000.0,360,574023.1,810500.0,3028.0,73.0,120.0,457065.6,400,2249,8.0E7,380,30,320,11670,7000000.0,380000.0
283000.0,480533.0,400000,365000,12,68000,330,310,320000,358000.0,320000,16338,420000.0,16352,419344,352250,"House",1752.0,295000,485000,390,455557,2980.0,8189,99.0,null,437500.0,11582,410,"31/12/2014 12:00:00 AM",255900.0,360,245147.0,29612,720000.0,290,86,23,315,79.0,325000.0,347.416,470,280,550000.0,645000.0,307050,357.466,570000,0.05921716,16338,260,0.04209524,213,28641,438610,2651,521.0,342000.0,250000,518700,94.82686,344500,28641,"Melbourne - West",420000.0,550000.0,390000,372000.0,11609,"SA4_16213",331231,1.19383E10,307000.0,599000.0,270,430,5.52814E9,515000.0,387224.0,0.6457795999999999,455500.0,823.0,401000.0,340.0,455557,5840279.0,376750.0,530,842000.0,2014,1231.0,440593.7,300,"VIC",390,320,376750,279000,633504.5,350,387000.0,340,477304.5,670000.0,2713.0,93.0,95.0,416825.4,375,3560,1.0E8,350,30,300,11582,8000000.0,342000.0
330000.0,570000.0,515000,429550,12,105000,340,310,350000,395000.0,350000,5725,480000.0,5726,550000,400000,"House",608.0,320000,710000,420,650000,1291.0,5667,74.0,null,505000.0,7115,445,"31/12/2014 12:00:00 AM",307000.0,380,449303.2,10903,920000.0,295,87,11,320,57.0,360000.0,367.9578,540,285,660000.0,800000.0,340000,393.8203,945000,0.07003039999999999,5725,255,0.03791667,214,10493,595000,5000,148.0,377500.0,265000,795000,213.2911,386900,10493,"Mornington Peninsula",480000.0,660000.0,485000,410000.0,7152,"SA4_16214",370000,6.123643E9,346000.0,722500.0,270,470,4.197052E9,610000.0,492955.2,0.5092127000000001,535000.0,485.0,452000.0,350.0,650000,2254621.0,450000.0,650,1240000.0,2014,460.0,521023.1,300,"VIC",420,330,450000,299000,501513.2,355,430000.0,350,589887.8,1275000.0,1194.0,100.0,59.0,583593.1,400,2613,1.147125E7,370,92,300,7115,1.9E7,377500.0
