sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, propertycategorisation, auction_activity_auctiontotalsold, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
520000.0,1100000.0,815000,720000,6,142000,525,470,590000,725000.0,590000,11776,900000.0,11780,875000,690000,"House",3568.0,490000,1200000,675,1000000,4760.0,2675,103.0,null,945000.0,7044,700,"30/06/2015 12:00:00 AM",435000.0,600,1102943.0,6655,2000000.0,430,79,88,490,65.0,635000.0,557.8016,850,400,1300000.0,1610000.0,550000,595.8295,1700000,0.07248267,11776,340,0.03177778,206,5017,930000,4500,543.0,680000.0,345000,1370000,255.6211,659000,5017,"Melbourne - Inner",900000.0,1300000.0,780000,770000.0,7115,"SA4_16206",620000,5.181639E9,585000.0,1435500.0,380,750,8.396968E9,1200000.0,798956.6,0.7656651999999999,1005000.0,1014.0,855000.0,550.0,1000000,7016488.0,750000.0,995,2910000.0,2015,3025.0,977233.2,450,"VIC",675,500,750000,415000,1188936.0,570,815000.0,550,1192074.0,2625000.0,4660.0,63.0,89.0,1032816.0,650,335,2.743125E7,595,40,450,7044,2.33E7,680000.0
699800.0,1440000.0,950000,819000,6,298000,485,430,690000,910000.0,690000,5928,1170111.0,5928,1000000,790000,"House",3522.0,620000,1450000,650,1280000,4343.0,2902,59.0,null,1255000.0,6684,695,"30/06/2015 12:00:00 AM",580000.0,580,904988.6,6562,2388000.0,400,80,12,450,54.0,820000.0,530.6359,850,385,1700000.0,2050000.0,650000,570.1458,2000000,0.06196082,5928,340,0.02220219,207,4280,1147125,2600,559.0,868800.0,479000,1675800,247.8913,750000,4280,"Melbourne - Inner East",1171056.0,1700000.0,900000,963500.0,6721,"SA4_16207",703238,4.875549E9,769000.0,1850000.0,365,750,9.443288E9,1553000.0,947218.7,0.8118949000000001,1350000.0,795.0,1100000.0,500.0,1280000,3379824.0,850000.0,1050,2999990.0,2015,2963.0,1230400.0,410,"VIC",650,465,850000,565000,907942.7,520,1020000.0,500,1412820.0,2650000.0,4338.0,57.0,48.0,1139147.0,600,268,1.45E7,550,78,410,6684,1.3188E7,868800.0
545000.0,1200000.0,870000,730000,6,111111,500,445,590000,750000.0,590000,6422,975000.0,6423,919000,695000,"House",3511.0,500000,1200000,700,1075000,4574.0,3015,76.0,null,1042000.0,7117,750,"30/06/2015 12:00:00 AM",468600.0,620,771306.2,6846,1950000.0,400,81,1300,455,48.0,659000.0,561.2724,950,389,1375000.0,1700000.0,550000,620.0475,1650000,0.06574077,6422,330,0.02773333,208,5160,997500,8000,606.0,705000.0,380000,1365000,349.9676,650000,5160,"Melbourne - Inner South",975000.0,1375000.0,810000,800000.0,7185,"SA4_16208",620000,5.141424E9,610000.0,1510000.0,360,825,8.346796E9,1285000.0,813434.8,0.7947035,1117500.0,826.0,910000.0,520.0,1075000,3981945.0,780000.0,1250,2530000.0,2015,2905.0,1013146.0,425,"VIC",700,480,780000,450000,1617585.0,550,850000.0,520,1172797.0,2180000.0,4418.0,58.0,91.0,996399.9,650,357,1.0E8,585,32,425,7117,1.088E7,705000.0
368000.0,615000.0,419554,381200,6,174000,350,330,345000,441000.0,345000,8550,538000.0,8551,437925,371710,"House",2618.0,321000,530000,400,490000,3657.0,4460,91.0,null,560001.0,7658,420,"30/06/2015 12:00:00 AM",345000.0,380,311067.7,16068,881500.0,320,82,4000,340,42.0,400000.0,366.7011,480,310,685000.0,792000.0,334350,375.3954,660000,0.06565667,8550,285,0.033829000000000005,209,14505,460000,2000,406.0,420300.0,283000,585000,90.59966,362000,14505,"Melbourne - North East",538000.0,685000.0,400000,465000.0,7687,"SA4_16209",352300,6.604272E9,385000.0,725000.0,300,450,4.641711E9,650000.0,420404.9,0.7349803,587500.0,852.0,515000.0,350.0,490000,3209631.0,393000.0,525,1105000.0,2015,2212.0,558169.8,325,"VIC",400,345,393000,307000,252198.7,360,490000.0,350,606125.7,800000.0,3562.0,80.0,73.0,455310.0,390,854,7437500.0,370,69,325,7658,5500000.0,420300.0
340000.0,537500.0,418443,380000,6,118000,350,330,339000,405000.0,339000,6473,470000.0,6476,430146,370000,"House",1584.0,313688,499736,390,470000,2483.0,3397,87.0,null,490000.0,5945,400,"30/06/2015 12:00:00 AM",320000.0,370,257186.2,12997,761000.0,315,83,8800,330,44.0,375000.0,358.9751,450,310,600000.0,690000.0,328830,366.5701,620000,0.05901019,6473,290,0.03872341,210,12276,449455,3622,422.0,390000.0,264338,550000,100.4747,360000,12276,"Melbourne - North West",470000.0,600000.0,400840,420000.0,5963,"SA4_16210",350000,6.081865E9,360000.0,635000.0,300,420,3.144568E9,563000.0,409195.4,0.6686366,512000.0,686.0,452000.0,350.0,470000,2372808.0,392000.0,500,900000.0,2015,1162.0,494089.3,320,"VIC",390,340,392000,295000,5326783.0,355,435000.0,350,528943.3,750000.0,2369.0,91.0,68.0,495427.3,380,1085,5.85E8,360,29,320,5945,6000000.0,390000.0
405000.0,665000.0,550000,490000,6,74200,380,360,410000,496000.0,410000,6387,586000.0,6404,580000,470000,"House",1841.0,375000,682500,445,645000,2319.0,6173,46.0,null,609850.0,9227,460,"30/06/2015 12:00:00 AM",370000.0,420,295004.1,10047,920000.0,340,84,12,365,39.0,452500.0,395.7094,500,330,733000.0,838000.0,390000,405.2266,800000,0.06139292,6387,300,0.03460751,211,9186,600000,2800,326.0,475000.0,310000,733163,100.2999,450000,9186,"Melbourne - Outer East",586000.0,733000.0,530000,518888.0,9264,"SA4_16211",430000,5.211906E9,430000.0,778000.0,320,480,5.953046E9,698000.0,523069.7,0.8153233,637000.0,358.0,561000.0,390.0,645000,2588182.0,500000.0,550,1100000.0,2015,1515.0,602416.6,350,"VIC",445,370,500000,350000,326793.8,400,540000.0,390,645176.8,950000.0,2258.0,50.0,62.0,567374.9,430,664,1.3965E7,400,38,350,9227,7200000.0,475000.0
345000.0,599000.0,428616,389500,6,145000,355,330,344000,413000.0,344000,13490,495000.0,13495,445447,379000,"House",2320.0,319500,535300,420,495000,3209.0,7849,94.0,null,525000.0,12314,440,"30/06/2015 12:00:00 AM",320000.0,390,370858.5,26185,1050000.0,320,85,8018,340,84.0,378002.0,373.0211,500,310,720000.0,900000.0,330000,383.848,695000,0.05354146,13490,280,0.03781818,212,24093,465000,2350,490.0,395000.0,270000,595000,103.5126,366400,24093,"Melbourne - South East",495000.0,720000.0,413293,430000.0,12363,"SA4_16212",353750,1.125716E10,360000.0,802000.0,295,460,7.627564E9,650000.0,427370.5,0.7611548,557000.0,615.0,471000.0,360.0,495000,5178110.0,399950.0,560,1310000.0,2015,1830.0,550462.6,325,"VIC",420,350,399950,300000,279607.8,370,450000.0,360,619422.1,880000.0,3048.0,70.0,83.0,467237.8,400,1957,9975000.0,380,33,325,12314,7000000.0,395000.0
287500.0,490000.0,404000,369000,6,68000,330,310,324000,362000.0,324000,16508,425000.0,16519,422017,357000,"House",1846.0,298000,490000,400,460000,2897.0,8823,94.0,null,443500.0,12538,410,"30/06/2015 12:00:00 AM",263000.0,370,252060.5,28486,735000.0,295,86,23,320,90.0,329000.0,351.9661,475,285,560000.0,655000.0,310000,362.4471,583538,0.05660981,16508,260,0.0416,213,27457,440000,2651,514.0,345000.0,249500,525000,99.22341,348665,27457,"Melbourne - West",425000.0,560000.0,392900,378000.0,12563,"SA4_16213",336060,1.1481E10,310000.0,600000.0,275,440,6.10453E9,522500.0,390753.0,0.688806,465000.0,730.0,410000.0,340.0,460000,5983276.0,380000.0,550,870000.0,2015,1332.0,448492.3,300,"VIC",400,330,380000,280000,208118.7,350,390500.0,340,486882.3,690000.0,2680.0,93.0,78.0,418144.7,380,3707,9500000.0,360,30,300,12538,6500000.0,345000.0
340000.0,590000.0,520000,439000,6,143000,340,319,359000,410000.0,359000,5578,500000.0,5581,550000,410000,"House",669.0,325000,725000,424,650000,1267.0,5814,72.0,null,525000.0,7309,450,"30/06/2015 12:00:00 AM",313000.0,390,474250.6,10123,965000.0,300,87,23000,320,53.0,375000.0,371.9338,550,290,685000.0,830000.0,345000,396.5296,950000,0.06959626,5578,255,0.0364,214,9705,595000,5000,150.0,390000.0,270000,800000,204.606,390000,9705,"Mornington Peninsula",500000.0,685000.0,490000,427608.0,7347,"SA4_16214",375000,5.789146E9,355000.0,750000.0,275,480,4.507354E9,630000.0,502560.6,0.5683942,555000.0,420.0,470000.0,350.0,650000,2211842.0,460000.0,650,1255000.0,2015,519.0,541036.6,305,"VIC",424,330,460000,300000,537865.3,360,450000.0,350,616685.4,1300000.0,1177.0,96.0,40.0,596511.6,400,2387,1.2E7,370,81,305,7309,1.1E7,390000.0
