sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, propertycategorisation, auction_activity_auctiontotalsold, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
349000.0,620000.0,520000,448875,3,20000,400,360,360000,444000.0,360000,35797,537000.0,35812,550000,420000,"Unit",2338.0,310000,650000,515,600000,3802.0,4720,200.0,null,563000.0,13305,550,"31/03/2016 12:00:00 AM",286000.0,470,447902.9,12785,925000.0,330,79,12345,370,165.0,404800.0,424.3442,630,310,694000.0,810000.0,340000,448.7319,800000,0.06569747,35797,260,0.03970205,206,11537,579000,3302,591.0,423500.0,210000,700000,171.0105,400000,11537,"Melbourne - Inner",537000.0,694000.0,495000,462500.0,13432,"SA4_16206",385000,6.522658E9,380000.0,742500.0,290,580,8.369674E9,651000.0,477283.1,0.6201591,590000.0,1269.0,511000.0,410.0,600000,1.606326E7,470000.0,735,1250000.0,2016,1747.0,554482.7,350,"VIC",515,385,470000,274313,569741.9,430,486000.0,410,629062.3,1200000.0,3770.0,95.0,57.0,565368.6,495,1816,2.0E7,450,35,350,13305,1.25E7,423500.0
371000.0,645000.0,580000,500000,3,93000,380,350,400000,489500.0,400000,6907,576800.0,6907,600000,489000,"Unit",693.0,345000,700000,450,675000,992.0,922,35.0,null,598600.0,2856,470,"31/03/2016 12:00:00 AM",335000.0,420,315355.6,2887,950000.0,320,80,10000,360,17.0,436000.0,381.2966,520,300,722500.0,837000.0,380000,396.8911,875000,0.06994577,6907,215,0.03470874,207,2403,640000,1500,102.0,459000.0,149000,775000,116.4398,460000,2403,"Melbourne - Inner East",576800.0,722500.0,550000,512000.0,2872,"SA4_16207",430000,1.395611E9,410000.0,775000.0,260,495,1.8222E9,680000.0,501676.2,0.6895522,620000.0,285.0,551000.0,385.0,675000,2741327.0,525000.0,580,1250000.0,2016,591.0,582642.1,340,"VIC",450,370,525000,278800,376007.2,395,535000.0,385,638025.2,1150000.0,1005.0,101.0,11.0,580778.4,430,199,6200000.0,400,80,340,2856,5350000.0,459000.0
348750.0,607000.0,505000,450000,3,125000,360,325,367500,455000.0,367500,8713,540000.0,8716,540000,423938,"Unit",1039.0,320000,650000,440,600000,1489.0,1239,37.0,null,560560.0,3399,460,"31/03/2016 12:00:00 AM",299000.0,400,309952.2,3246,887500.0,300,81,50000,340,25.0,408000.0,374.9762,535,280,681000.0,790000.0,350000,392.1354,800000,0.05664089,8713,250,0.03562963,208,2818,570000,2625,209.0,430000.0,250000,700000,132.8382,400000,2818,"Melbourne - Inner South",540000.0,681000.0,490000,475000.0,3424,"SA4_16208",390000,1.523566E9,382630.0,723000.0,265,490,2.047005E9,640000.0,478460.2,0.7072839,580000.0,409.0,520000.0,370.0,600000,3416676.0,470000.0,600,1140000.0,2016,830.0,550917.5,310,"VIC",440,350,470000,289000,386896.9,380,497000.0,370,602237.5,1022438.0,1469.0,69.0,31.0,540655.1,420,265,9450000.0,395,22,310,3399,5000000.0,430000.0
296100.0,456500.0,390000,349950,3,120000,320,300,300000,360000.0,300000,3881,410000.0,3882,400000,335000,"Unit",359.0,280000,480000,365,450000,566.0,676,17.0,null,425000.0,1664,380,"31/03/2016 12:00:00 AM",270000.0,350,151374.8,1723,635000.0,290,82,4000,310,12.0,337500.0,328.3221,420,280,517000.0,590000.0,290000,335.0013,570000,0.05883725,3881,240,0.04185366,209,1528,430000,780,70.0,349900.0,230000,520000,68.24906,320000,1528,"Melbourne - North East",410000.0,517000.0,374063,375000.0,1671,"SA4_16209",300000,5.989446E8,320000.0,550000.0,260,395,7.418504E8,485000.0,367498.3,0.6660482,440000.0,175.0,395000.0,330.0,450000,1300140.0,359550.0,450,730000.0,2016,289.0,424589.2,295,"VIC",365,315,359100,260000,145309.7,335,385000.0,330,445823.5,665000.0,539.0,96.0,3.0,391979.4,350,123,1375000.0,340,33,295,1664,1805000.0,349900.0
275000.0,434000.0,360000,325000,3,127000,320,300,289000,330000.0,289000,1632,383000.0,1632,375000,310000,"Unit",110.0,265000,429000,355,400000,198.0,312,17.0,null,399000.0,712,365,"31/03/2016 12:00:00 AM",250000.0,340,122197.4,687,570000.0,290,83,38000,305,6.0,305000.0,323.0262,390,280,477000.0,527880.0,279000,327.6452,500000,0.05511615,1632,250,0.04333615,210,654,390000,1168,34.0,315000.0,230000,459000,56.774519999999995,300000,654,"Melbourne - North West",383975.0,477000.0,350000,340000.0,720,"SA4_16210",292000,2.351272E8,290000.0,505000.0,270,375,2.893252E8,452000.0,343738.8,0.5263158,410000.0,81.0,368500.0,320.0,400000,534717.0,340000.0,420,640000.0,2016,76.0,389437.7,295,"VIC",355,310,340000,250000,113630.0,330,354500.0,320,406355.7,565500.0,209.0,96.0,4.0,359521.8,350,104,1100000.0,340,85,295,712,990000.0,315000.0
335000.0,490200.0,420000,380000,3,140000,330,320,340000,390000.0,340000,2726,442456.0,2727,430000,370000,"Unit",167.0,310000,490000,370,468825,217.0,755,6.0,null,460000.0,1375,380,"31/03/2016 12:00:00 AM",302000.0,355,153963.9,1308,652000.0,300,84,30000,320,6.0,365000.0,338.6516,410,295,535000.0,600000.0,325000,344.6948,550000,0.04714514,2726,260,0.03995878,211,1215,450000,3320,39.0,377000.0,265000,500000,88.09068,360000,1215,"Melbourne - Outer East",442456.0,535000.0,400000,400000.0,1384,"SA4_16211",350000,5.013478E8,351000.0,562000.0,280,390,6.512566E8,510000.0,395352.7,0.7455357,475000.0,48.0,428000.0,340.0,468825,939638.0,390000.0,435,750000.0,2016,128.0,454076.9,310,"VIC",370,330,390000,295000,132100.2,345,415000.0,340,473641.2,610000.0,224.0,46.0,5.0,412631.9,360,63,2250000.0,350,73,310,1375,2260000.0,377000.0
260000.0,480000.0,354500,320000,3,126500,310,285,280000,330000.0,280000,5437,405000.0,5437,370000,310000,"Unit",332.0,250000,449000,370,410000,496.0,861,17.0,null,430000.0,1656,380,"31/03/2016 12:00:00 AM",226000.0,350,235040.0,2670,792000.0,265,85,15000,295,23.0,295000.0,320.4314,430,250,580000.0,690000.0,260000,329.9044,578550,0.05932667,5437,220,0.04108642,212,2434,390000,750,62.0,315000.0,199000,495000,81.82137,300000,2434,"Melbourne - South East",405000.0,580000.0,345000,349000.0,1688,"SA4_16212",290000,9.01518E8,280000.0,635000.0,240,400,7.82942E8,530000.0,342348.1,0.706383,455000.0,123.0,385000.0,320.0,410000,1793690.0,330000.0,490,909000.0,2016,270.0,428082.6,275,"VIC",370,300,330000,225000,159662.0,330,365000.0,320,472791.1,700000.0,470.0,105.0,12.0,370385.3,360,212,1400000.0,340,41,275,1656,3125000.0,315000.0
242000.0,440000.0,350000,310000,3,87000,295,270,269325,320000.0,269325,5360,379000.0,5364,370000,299250,"Unit",238.0,239400,439500,350,400000,469.0,1036,36.0,null,395000.0,2084,360,"31/03/2016 12:00:00 AM",202000.0,330,155251.0,2424,600000.0,250,86,22000,280,25.0,287000.0,302.5412,400,240,495000.0,565000.0,250000,311.1429,525000,0.06099386,5360,205,0.04116095,213,2313,390000,1300,82.0,305000.0,190000,470000,76.96755999999999,290000,2313,"Melbourne - West",379000.0,495000.0,339150,337000.0,2091,"SA4_16213",280000,8.171544E8,265000.0,530000.0,225,380,8.504816E8,470000.0,328185.7,0.5446224000000001,417000.0,173.0,364000.0,300.0,400000,1667726.0,320000.0,450,670000.0,2016,156.0,381953.6,260,"VIC",350,290,320000,216000,151402.7,310,350000.0,300,408100.6,600000.0,437.0,128.0,5.0,353287.7,335,368,2700000.0,320,61,260,2084,2350000.0,305000.0
252000.0,410000.0,350000,310000,3,103500,290,265,275000,308500.0,275000,1668,346000.0,1668,370000,300000,"Unit",38.0,249000,473813,340,425000,94.0,700,7.0,null,365000.0,934,350,"31/03/2016 12:00:00 AM",220000.0,320,207599.2,1350,620000.0,250,87,25000,275,5.0,286000.0,296.4514,390,235,475000.0,540000.0,260000,310.6181,575000,0.05874057,1668,200,0.04433526,214,1325,395000,4500,14.0,299000.0,195000,520000,155.5793,295000,1325,"Mornington Peninsula",346000.0,475000.0,335000,315000.0,963,"SA4_16214",289000,4.988499E8,274950.0,510000.0,220,365,3.817926E8,440000.0,339503.2,0.4367816,385000.0,42.0,330000.0,295.0,425000,518111.0,320000.0,450,715000.0,2016,24.0,375466.6,260,"VIC",340,280,320000,224500,208300.4,300,324950.0,295,408771.5,675000.0,87.0,85.0,3.0,376490.5,330,238,2675000.0,310,92,260,934,2650000.0,299000.0
