sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, propertycategorisation, auction_activity_auctiontotalsold, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
600000.0,1282000.0,900000,789000,6,159000,530,480,650000,829000.0,650000,11931,1030000.0,11934,1000000,750000,"House",3496.0,554000,1305000,685,1200000,4467.0,2364,83.0,null,1110000.0,6147,725,"30/06/2016 12:00:00 AM",490000.0,620,1209082.0,5957,2200000.0,430,79,5000,495,43.0,730000.0,565.9244,850,410,1500000.0,1830000.0,600000,605.7862,1975000,0.07615247,11931,340,0.02776699,206,4256,1100000,4000,526.0,780000.0,380000,1550000,267.9636,700000,4256,"Melbourne - Inner",1030000.0,1500000.0,870000,872000.0,6183,"SA4_16206",680000,4.904483E9,675000.0,1650000.0,380,780,8.263055E9,1375000.0,898954.8,0.7737937,1200000.0,960.0,965000.0,550.0,1200000,7227635.0,807000.0,1000,3000000.0,2016,2970.0,1111419.0,450,"VIC",685,510,805000,480000,1249588.0,575,910000.0,550,1344242.0,2850000.0,4518.0,55.0,67.0,1152369.0,650,264,2.0E7,600,40,450,6147,2.41E7,780000.0
835000.0,1645000.0,1298000,1000000,6,330000,500,450,835000,1100000.0,835000,6311,1365000.0,6312,1400000,975000,"House",3126.0,748125,1900000,650,1700000,4300.0,2596,56.0,null,1436000.0,5623,700,"30/06/2016 12:00:00 AM",699000.0,595,934918.4,6318,2700000.0,410,80,12345,460,45.0,971000.0,545.1096,860,395,1890000.0,2348000.0,799000,585.7287,2550000,0.07172935,6311,350,0.01980952,207,3986,1500000,3495,479.0,1030000.0,550000,2175000,260.6201,900000,3986,"Melbourne - Inner East",1365000.0,1890000.0,1200000,1161000.0,5648,"SA4_16207",890000,5.756453E9,911000.0,2080000.0,370,770,9.052058E9,1760000.0,1201744.0,0.7251218,1530000.0,1186.0,1300000.0,520.0,1700000,3696534.0,1100000.0,1085,3300000.0,2016,2647.0,1424636.0,430,"VIC",650,480,1100000,670000,1127899.0,550,1222100.0,520,1609827.0,3250000.0,4311.0,55.0,46.0,1444168.0,620,303,2.2E7,565,90,430,5623,1.4825E7,1030000.0
630000.0,1390000.0,1000000,800000,6,250000,520,450,650000,875000.0,650000,6618,1150000.0,6619,1100000,770000,"House",3393.0,560000,1450000,730,1300000,4382.0,2593,78.0,null,1220000.0,6307,795,"30/06/2016 12:00:00 AM",535000.0,650,900598.1,6254,2275000.0,420,81,1100,475,34.0,760000.0,578.9431,990,399,1610000.0,1950000.0,600000,637.691,2000000,0.06867343,6618,340,0.02486956,208,4261,1200000,4085,533.0,815000.0,410000,1675000,335.3129,725000,4261,"Melbourne - Inner South",1150000.0,1610000.0,940000,930000.0,6362,"SA4_16208",695000,5.109638E9,705000.0,1760000.0,370,850,8.573875E9,1495000.0,937839.3,0.7787468000000001,1300000.0,905.0,1075000.0,550.0,1300000,4220239.0,875000.0,1290,2950000.0,2016,2860.0,1174860.0,440,"VIC",730,495,875000,495000,3406716.0,575,990000.0,550,1359422.0,2750000.0,4357.0,51.0,79.0,1199164.0,680,298,2.13465E8,600,50,440,6307,1.350089E7,815000.0
398000.0,675000.0,452700,409400,6,130000,360,340,367950,481000.0,367950,8998,595000.0,8998,475000,400000,"House",3093.0,341407,590000,420,548348,4112.0,3886,95.0,null,620000.0,7442,435,"30/06/2016 12:00:00 AM",375000.0,390,354982.3,14020,996000.0,330,82,3000,350,63.0,440000.0,376.5155,490,320,760000.0,885000.0,354870,385.0703,740000,0.05871907,8998,295,0.03146219,209,12036,500000,1430,557.0,459000.0,292950,650000,88.39794,390000,12036,"Melbourne - North East",595000.0,760000.0,439190,510000.0,7476,"SA4_16209",379050,7.723588E9,420000.0,810000.0,305,450,4.982221E9,710000.0,456204.9,0.7426170999999999,645000.0,978.0,565000.0,360.0,548348,3464862.0,422500.0,550,1250000.0,2016,2536.0,613258.6,330,"VIC",420,350,422500,321694,1.102191E7,370,540000.0,360,669473.4,900000.0,4165.0,64.0,98.0,641707.2,400,575,9.45E8,380,20,330,7442,6520000.0,459000.0
360000.0,590000.0,440000,400000,6,118000,350,330,355955,430000.0,355955,6786,510000.0,6790,453444,391242,"House",1977.0,329000,520000,400,490000,2980.0,3352,118.0,null,535000.0,5915,410,"30/06/2016 12:00:00 AM",330000.0,380,288127.0,14486,851000.0,320,83,10000,340,64.0,395000.0,366.7816,450,310,660000.0,765000.0,343930,373.4359,648375,0.06040757,6786,290,0.03670588,210,13502,470000,1800,506.0,415000.0,277610,568000,80.91325,380000,13502,"Melbourne - North West",510000.0,660000.0,426495,446250.0,5924,"SA4_16210",369900,7.257257E9,380000.0,705000.0,300,430,3.4148E9,622500.0,428776.6,0.6789148,565000.0,819.0,485000.0,360.0,490000,2534136.0,415000.0,500,1038912.0,2016,1471.0,535599.5,330,"VIC",400,350,415000,307500,8627086.0,360,462000.0,360,577311.9,780000.0,2912.0,77.0,62.0,537495.0,390,831,1.0E9,370,86,330,5915,9450000.0,415000.0
452000.0,750000.0,620000,550000,6,133099,390,370,460000,570700.0,460000,7056,661750.0,7059,650000,525000,"House",2127.0,410000,750000,450,700000,2953.0,5991,69.0,null,690000.0,8636,460,"30/06/2016 12:00:00 AM",405002.0,420,329063.6,9300,1028000.0,350,84,31000,375,65.0,518000.0,404.398,520,340,825000.0,930000.0,440000,414.6447,900000,0.06290267,7056,305,0.03143062,211,8042,685000,3000,367.0,550000.0,340000,800000,109.5121,500000,8042,"Melbourne - Outer East",661775.0,825000.0,590000,595000.0,8658,"SA4_16211",485000,5.34124E9,490000.0,870000.0,330,485,6.276729E9,788000.0,584534.6,0.7395688,720000.0,670.0,638000.0,400.0,700000,2925733.0,570000.0,570,1250000.0,2016,1760.0,679416.6,360,"VIC",450,380,570000,385000,2362084.0,400,610700.0,400,726809.8,1100000.0,2876.0,41.0,72.0,664168.1,440,494,2.096595E8,415,12,360,8636,1.01E7,550000.0
372500.0,646388.0,460000,414900,6,127000,370,350,365000,450000.0,365000,13815,542000.0,13818,480000,400000,"House",2509.0,338379,585850,435,540000,3856.0,7922,127.0,null,570000.0,12107,450,"30/06/2016 12:00:00 AM",345000.0,400,405578.7,25880,1140000.0,330,85,11,350,115.0,410000.0,386.7971,530,320,770000.0,970000.0,350000,397.9253,795000,0.05351072,13815,285,0.03645756,212,23313,500000,2150,503.0,430000.0,285000,660000,102.3061,390000,23313,"Melbourne - South East",542000.0,770000.0,444645,470000.0,12153,"SA4_16212",379950,1.201788E10,390000.0,860500.0,300,485,8.099192E9,700000.0,461726.6,0.6894751,600000.0,991.0,515000.0,380.0,540000,5497338.0,429560.0,590,1365500.0,2016,2006.0,595632.5,340,"VIC",435,360,429560,319015,358356.9,385,490000.0,380,668967.8,1000000.0,3639.0,56.0,127.0,515501.4,420,1455,1.3E7,395,20,340,12107,1.1E7,430000.0
315000.0,540000.0,429750,392517,6,147000,350,320,349000,395000.0,349000,16847,465000.0,16852,445250,381152,"House",2438.0,319000,510000,410,485000,3571.0,8617,129.0,null,488000.0,12601,430,"30/06/2016 12:00:00 AM",285001.0,380,327840.5,30606,805000.0,305,86,3000,330,105.0,360000.0,365.4802,490,300,610000.0,720000.0,334950,375.6887,609000,0.04831759,16847,270,0.03913978,213,29289,460300,2000,652.0,378000.0,265000,550000,96.94208,370350,29289,"Melbourne - West",465000.0,610000.0,415895,410000.0,12651,"SA4_16213",359423,1.298261E10,340000.0,657000.0,285,450,6.761119E9,570000.0,414851.6,0.718962,512000.0,837.0,445000.0,350.0,485000,6329227.0,400000.0,560,960000.0,2016,1786.0,490841.4,320,"VIC",410,340,400000,299000,240152.1,360,425000.0,350,536554.2,730000.0,3391.0,71.0,76.0,443259.0,395,2759,1.7E7,370,31,320,12601,9999999.0,378000.0
370000.0,655000.0,559000,470000,6,86000,350,330,385000,450000.0,385000,5189,550000.0,5190,595000,446000,"House",909.0,349950,780000,435,700000,1448.0,5475,64.0,null,585000.0,7314,450,"30/06/2016 12:00:00 AM",340000.0,400,544189.6,9155,1100000.0,310,87,2000,340,43.0,410000.0,384.7579,550,300,765000.0,910000.0,369950,409.4477,1020000,0.06314237,5189,270,0.03403636,214,8572,650000,5000,223.0,430000.0,290000,870000,208.5921,420000,8572,"Mornington Peninsula",550000.0,765000.0,525000,470000.0,7375,"SA4_16214",399950,5.565258E9,390000.0,826001.0,280,495,5.059426E9,705000.0,541331.1,0.6539568,617310.0,392.0,520000.0,360.0,700000,2124624.0,495000.0,680,1450000.0,2016,686.0,601037.2,320,"VIC",435,350,495000,325000,682710.1,375,495000.0,360,691745.4,1496250.0,1390.0,71.0,58.0,649236.9,415,1432,2.505682E7,385,69,320,7314,1.3E7,430000.0
