estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, sa4_name_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, sa4_code_2016, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,13749,null,null,null,null,null,null,null,null,null,null,null,null,null,3064,null,null,null,null,2000,null,null,null,null,10853,null,null,null,null,null,null,null,null,null,null,null,null,8040,"Melbourne - Inner",null,null,null,null,null,11692,null,21400,null,"206",null,33357,645,null,12777,null,null,null,8513,null,2019,null,640,null,null,null,null,null
null,null,null,5382,null,null,null,null,null,null,null,null,null,null,null,null,null,1458,null,null,null,null,730,null,null,null,null,7352,null,null,null,null,null,null,null,null,null,null,null,null,4117,"Melbourne - Inner East",null,null,null,null,null,3758,null,9870,null,"207",null,28793,227,null,9877,null,null,null,5893,null,2019,null,297,null,null,null,null,null
null,null,null,7534,null,null,null,null,null,null,null,null,null,null,null,null,null,1804,null,null,null,null,1144,null,null,null,null,8693,null,null,null,null,null,null,null,null,null,null,null,null,2928,"Melbourne - Inner South",null,null,null,null,null,4904,null,12066,null,"208",null,33804,332,null,11204,null,null,null,6804,null,2019,null,294,null,null,null,null,null
null,null,null,14630,null,null,null,null,null,null,null,null,null,null,null,null,null,6312,null,null,null,null,3498,null,null,null,null,22847,null,null,null,null,null,null,null,null,null,null,null,null,5602,"Melbourne - North East",null,null,null,null,null,11949,null,21566,null,"209",null,47202,977,null,28916,null,null,null,16068,null,2019,null,1482,null,null,null,null,null
null,null,null,11942,null,null,null,null,null,null,null,null,null,null,null,null,null,9194,null,null,null,null,3214,null,null,null,null,22652,null,null,null,null,null,null,null,null,null,null,null,null,4174,"Melbourne - North West",null,null,null,null,null,12204,null,18675,null,"210",null,36894,1104,null,28376,null,null,null,16792,null,2019,null,2532,null,null,null,null,null
null,null,null,12986,null,null,null,null,null,null,null,null,null,null,null,null,null,3332,null,null,null,null,2916,null,null,null,null,19298,null,null,null,null,null,null,null,null,null,null,null,null,3527,"Melbourne - Outer East",null,null,null,null,null,9392,null,17413,null,"211",null,52542,823,null,25173,null,null,null,11163,null,2019,null,886,null,null,null,null,null
null,null,null,21061,null,null,null,null,null,null,null,null,null,null,null,null,null,9423,null,null,null,null,6503,null,null,null,null,43101,null,null,null,null,null,null,null,null,null,null,null,null,9104,"Melbourne - South East",null,null,null,null,null,18953,null,37001,null,"212",null,71354,1824,null,55543,null,null,null,21356,null,2019,null,3113,null,null,null,null,null
null,null,null,19633,null,null,null,null,null,null,null,null,null,null,null,null,null,10903,null,null,null,null,7807,null,null,null,null,46666,null,null,null,null,null,null,null,null,null,null,null,null,8021,"Melbourne - West",null,null,null,null,null,24183,null,38783,null,"213",null,58587,2057,null,57766,null,null,null,24513,null,2019,null,3553,null,null,null,null,null
null,null,null,9928,null,null,null,null,null,null,null,null,null,null,null,null,null,2922,null,null,null,null,3002,null,null,null,null,13902,null,null,null,null,null,null,null,null,null,null,null,null,1620,"Mornington Peninsula",null,null,null,null,null,7646,null,16748,null,"214",null,38862,690,null,17258,null,null,null,7819,null,2019,null,487,null,null,null,null,null
