estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, sa4_name_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, sa4_code_2016, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
59,0.9,54176,15709,21.2,41,14977,null,null,65246,361473,6.4,35,4046,22.4,356756,51073,3125,51018,null,0.18,null,2333,76349,23276.9,18388,27.3,14359,38.3,229.3,401,29782,null,1807.5,1.89,5.09,0.515,273207,0.37,35391,10637,"Melbourne - Inner",27598.0,null,null,24.4,101334,15882,30351,null,4091.8,"206",79.2,36093,1110,12.9,15569,13.1,3075.6,null,null,null,2015,null,null,7700,32.0,9390,37,33
60,1.4,49512,6020,21.4,48,18360,null,null,68426,218151,6.5,45,4002,26.6,183838,28941,1516,48716,null,0.14,null,772,76902,12579.3,19919,28.9,10381,41.0,204.6,1294,29502,null,1347.2,2.15,6.4,0.557,183483,0.34,46548,5287,"Melbourne - Inner East",16776.2,null,null,20.6,49612,5105,29136,null,3368.7,"207",66.9,33182,262,24.4,11765,12.7,1445.5,null,null,null,2015,null,null,6934,31.4,12630,46,40
59,1.4,53035,8483,21.5,47,17900,null,null,70150,245053,6.9,44,3994,23.3,213956,33831,1789,51683,null,0.17,null,1407,77958,15009.0,18784,27.4,12773,39.1,211.7,851,27312,null,1283.7,2.01,5.45,0.529,197833,0.37,37944,3948,"Melbourne - Inner South",19103.9,null,null,22.7,56284,6408,28032,null,3541.2,"208",70.1,36805,334,20.8,14532,12.2,1577.8,null,null,null,2015,null,null,7751,32.5,12713,46,41
58,1.2,46982,16293,25.8,43,7225,null,null,54746,265940,7.2,41,2876,24.0,249037,34781,5841,47097,null,0.19,null,4228,56915,13633.8,15763,19.2,28463,30.0,178.2,279,25017,null,735.4,1.78,4.37,0.44,189531,0.41,21145,6955,"Melbourne - North East",15136.0,null,null,27.0,44279,14203,15478,null,1369.4,"209",79.0,47330,1596,12.2,32557,7.1,685.4,null,null,null,2015,null,null,7123,23.1,11969,43,38
58,1.3,45421,13037,26.9,42,6361,null,null,52559,181742,8.3,41,3208,24.6,168470,25092,7612,46254,null,0.2,null,3534,53652,8854.7,14834,18.0,25171,28.7,119.4,219,24032,null,476.0,1.76,4.24,0.428,121702,0.41,18970,4729,"Melbourne - North West",9750.8,null,null,27.5,36663,13013,8930,null,774.2,"210",78.6,36891,1555,11.3,28583,6.2,327.4,null,null,null,2015,null,null,4970,20.9,12773,43,38
59,1.4,46139,14420,25.9,46,7156,null,null,54590,293395,7.1,44,2652,24.8,268113,38519,3288,46731,null,0.17,null,3666,55815,14636.3,14654,19.0,27326,29.9,206.2,305,23350,null,809.7,1.8,4.56,0.444,217264,0.4,21022,5117,"Melbourne - Outer East",16375.9,null,null,26.5,35117,11742,20218,null,1554.8,"211",77.0,54309,1351,13.9,31787,6.7,710.0,null,null,null,2015,null,null,8830,22.8,12011,46,41
58,1.1,43878,23570,27.8,42,5830,null,null,50236,390957,8.2,41,3182,25.8,363691,54069,8742,44495,null,0.19,null,6953,51562,18270.4,12665,18.3,50181,29.0,199.2,200,22410,null,1105.3,1.74,4.27,0.43,262785,0.41,20442,10405,"Melbourne - South East",20158.6,null,null,27.7,32879,22834,20318,null,1532.0,"212",78.9,70645,2805,11.4,59240,6.4,668.0,null,null,null,2015,null,null,8891,18.7,13316,43,38
57,1.0,46964,22136,26.5,40,3946,null,null,53140,369904,7.4,38,3210,23.4,358107,46106,10176,47464,null,0.21,null,9001,53989,19030.0,12874,16.9,52773,27.4,182.2,137,22391,null,894.8,1.71,4.07,0.411,233386,0.42,19407,9462,"Melbourne - West",19970.6,null,null,29.0,28931,29172,14341,null,921.0,"213",83.1,55633,3442,8.1,59650,5.5,414.9,null,null,null,2015,null,null,8138,21.1,12444,40,37
59,1.8,43979,11065,27.4,47,10234,null,null,51836,160516,8.3,45,3957,25.8,142351,23406,2837,44117,null,0.18,null,3746,54752,7378.8,16202,21.1,18439,31.9,142.8,273,24668,null,538.5,1.81,4.51,0.46,111255,0.4,23008,2423,"Mornington Peninsula",8788.6,null,null,26.1,47871,9544,11182,null,1138.6,"214",73.4,39136,1241,15.7,21470,8.3,535.3,null,null,null,2015,null,null,5787,20.7,13500,48,41
