estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, sa4_name_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, sa4_code_2016, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
null,null,null,14150,null,null,null,null,null,null,null,null,null,3790,null,null,null,3121,null,null,null,null,2143,null,null,null,null,11483,null,null,null,null,null,null,null,null,null,null,null,null,8048,"Melbourne - Inner",null,null,null,null,116582,13450,37367,22898,null,"206",null,33448,820,null,13702,null,4356.3,null,8883,null,2018,null,755,null,null,null,null,null
null,null,null,5478,null,null,null,null,null,null,null,null,null,4314,null,null,null,1459,null,null,null,null,734,null,null,null,null,7662,null,null,null,null,null,null,null,null,null,null,null,null,4129,"Melbourne - Inner East",null,null,null,null,65730,4162,31342,10432,null,"207",null,28802,302,null,10462,null,2060.1,null,6209,null,2018,null,330,null,null,null,null,null
null,null,null,7729,null,null,null,null,null,null,null,null,null,4171,null,null,null,1813,null,null,null,null,1210,null,null,null,null,9276,null,null,null,null,null,null,null,null,null,null,null,null,2953,"Melbourne - Inner South",null,null,null,null,79544,5429,30215,12643,null,"208",null,33776,393,null,12067,null,2403.4,null,7182,null,2018,null,363,null,null,null,null,null
null,null,null,14923,null,null,null,null,null,null,null,null,null,3574,null,null,null,6216,null,null,null,null,3802,null,null,null,null,23784,null,null,null,null,null,null,null,null,null,null,null,null,5756,"Melbourne - North East",null,null,null,null,45700,12870,17646,22283,null,"209",null,46580,1153,null,30382,null,806.4,null,16240,null,2018,null,1796,null,null,null,null,null
null,null,null,12174,null,null,null,null,null,null,null,null,null,4197,null,null,null,8713,null,null,null,null,3264,null,null,null,null,22561,null,null,null,null,null,null,null,null,null,null,null,null,4107,"Melbourne - North West",null,null,null,null,47046,13184,10461,18771,null,"210",null,36454,1354,null,28457,null,492.1,null,16494,null,2018,null,2701,null,null,null,null,null
null,null,null,13285,null,null,null,null,null,null,null,null,null,3298,null,null,null,3338,null,null,null,null,3168,null,null,null,null,20355,null,null,null,null,null,null,null,null,null,null,null,null,3698,"Melbourne - Outer East",null,null,null,null,43078,10101,22581,18254,null,"211",null,51845,1036,null,26995,null,972.7,null,11305,null,2018,null,1074,null,null,null,null,null
null,null,null,21378,null,null,null,null,null,null,null,null,null,4277,null,null,null,9247,null,null,null,null,6910,null,null,null,null,43670,null,null,null,null,null,null,null,null,null,null,null,null,8727,"Melbourne - South East",null,null,null,null,52935,19919,23687,37599,null,"212",null,70199,2088,null,56917,null,1253.9,null,21359,null,2018,null,3569,null,null,null,null,null
null,null,null,19994,null,null,null,null,null,null,null,null,null,4440,null,null,null,10664,null,null,null,null,8484,null,null,null,null,46930,null,null,null,null,null,null,null,null,null,null,null,null,8134,"Melbourne - West",null,null,null,null,46605,25858,18133,39618,null,"213",null,56930,2450,null,58391,null,845.1,null,24426,null,2018,null,4042,null,null,null,null,null
null,null,null,10159,null,null,null,null,null,null,null,null,null,5048,null,null,null,2902,null,null,null,null,3232,null,null,null,null,14701,null,null,null,null,null,null,null,null,null,null,null,null,1670,"Mornington Peninsula",null,null,null,null,96279,8200,12520,17247,null,"214",null,38390,911,null,18462,null,1205.4,null,7832,null,2018,null,617,null,null,null,null,null
