estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, sa4_name_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, sa4_code_2016, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
59,0.9,55132,14416,21.1,39,15087,null,null,67659,400260,6.3,35,3858,23.4,391401,57285,3090,52236,null,0.17,null,2318,78337,26481.8,20424,27.2,12343,38.3,244.2,296,33532,null,1979.2,1.95,5.51,0.523,294474,0.35,34550,8801,"Melbourne - Inner",31355.1,null,null,23.2,95265,13930,33418,25131,4442.7,"206",79.2,34369,981,12.9,14726,13.0,3183.6,null,8891,null,2017,null,956,7284,32.3,9468,37,33
60,1.3,50000,5532,21.3,47,18069,null,null,71944,228871,6.5,45,4016,27.5,189441,30853,1442,50616,null,0.12,null,797,78810,13629.1,22307,29.3,8093,41.4,203.7,1017,32489,null,1426.9,2.2,6.95,0.566,189087,0.32,46248,4659,"Melbourne - Inner East",18037.4,null,null,19.9,66931,4334,29190,11089,3416.7,"207",66.9,29873,293,24.3,10993,13.1,1953.7,null,6161,null,2017,null,421,6270,31.3,12751,47,39
60,1.3,55343,7803,21.4,47,18025,null,null,74486,257104,6.8,44,3957,23.1,222051,35558,1763,54699,null,0.16,null,1286,81432,16539.7,20890,27.1,10075,38.7,222.0,694,30745,null,1366.0,2.04,5.75,0.53,204347,0.36,38416,3299,"Melbourne - Inner South",20936.4,null,null,22.1,82364,5720,28178,13418,3683.3,"208",70.5,34699,405,20.5,13106,11.8,2320.9,null,7073,null,2017,null,425,7220,33.5,13147,46,40
58,1.2,49116,15001,25.6,42,7254,null,null,58231,286716,7.2,41,3568,23.6,264970,39195,5990,49925,null,0.19,null,4118,59607,15429.5,16860,19.2,24804,30.1,189.6,203,27130,null,833.9,1.8,4.52,0.447,200668,0.4,21276,6161,"Melbourne - North East",17090.2,null,null,26.5,44611,13403,16328,22977,1455.7,"209",79.1,47244,1384,12.0,31757,7.1,728.4,null,15978,null,2017,null,2014,6989,24.2,11364,43,38
58,1.2,47856,12141,26.6,40,6572,null,null,55901,198258,8.2,40,3893,24.0,182478,28895,8187,49044,null,0.19,null,3449,56576,10200.7,15206,18.0,22897,28.7,121.7,156,25099,null,548.4,1.77,4.35,0.431,129124,0.41,18979,4453,"Melbourne - North West",11216.6,null,null,27.4,47332,13617,9394,18863,848.6,"210",79.2,36971,1521,10.8,28928,6.2,444.6,null,15793,null,2017,null,2829,4847,22.0,12113,42,37
59,1.3,48205,13465,25.5,46,7293,null,null,58007,303910,7.0,44,3047,24.6,273863,40251,3283,49689,null,0.17,null,3399,58438,15885.9,16091,18.9,21597,29.9,207.3,240,25536,null,880.3,1.82,4.76,0.448,222972,0.38,21869,4347,"Melbourne - Outer East",17759.9,null,null,26.1,47701,10577,20900,19191,1626.1,"211",77.1,52924,1173,13.9,28873,6.6,996.9,null,11099,null,2017,null,1297,8119,23.8,12061,46,40
58,1.0,45268,21571,27.7,41,5769,null,null,52796,426655,8.2,40,3994,25.7,391233,61973,8913,46547,null,0.18,null,7054,53500,20655.4,14227,18.3,44819,29.2,206.5,131,24305,null,1310.8,1.76,4.43,0.436,282281,0.4,21152,9527,"Melbourne - South East",22826.2,null,null,27.3,44525,20910,21535,38959,1628.4,"212",79.0,70899,2354,11.2,58750,6.5,958.9,null,21012,null,2017,null,4049,8496,19.3,13048,42,37
57,0.9,48542,20168,26.5,39,3945,null,null,56064,401945,7.3,38,3975,23.3,384319,53538,10395,49540,null,0.2,null,8885,56512,21546.3,14149,17.1,48191,27.8,194.1,95,24634,null,1029.6,1.75,4.26,0.419,251908,0.41,19231,8740,"Melbourne - West",22714.6,null,null,28.1,37379,26638,15798,40835,993.8,"213",83.2,57685,2918,8.1,59988,5.5,590.5,null,23776,null,2017,null,4582,7881,22.1,11487,40,37
59,1.7,46546,10233,26.9,47,11118,null,null,55601,167643,8.2,45,4773,25.0,147082,24342,2858,47192,null,0.17,null,3503,58294,8177.9,16725,21.2,15641,32.0,146.1,218,25608,null,588.7,1.83,4.65,0.463,116159,0.39,24184,1978,"Mornington Peninsula",9772.5,null,null,26.0,53363,8587,11595,17966,1291.4,"214",73.6,38978,948,15.6,19833,8.6,618.7,null,7701,null,2017,null,733,5704,22.1,13950,48,41
