estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, sa4_name_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, estimates_personal_income_year_ended_30_june_total_investment_m, sa4_code_2016, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
58,0.9,52973,null,21.3,41,15762,null,null,63109,343026,6.3,35,3323,22.2,331871,48318,null,49454,null,0.19,null,null,75158,20944.2,17246,27.8,14668,38.7,214.0,460,28405,null,1691.4,1.88,4.98,0.518,254548,0.38,35006,null,"Melbourne - Inner",25781.1,null,null,24.5,73094,null,27020,null,4012.1,"206",79.7,null,null,12.5,16012,13.8,1975.0,null,null,null,2014,null,null,7533,31.9,9327,38,33
60,1.4,48446,null,21.4,48,18721,null,null,66564,212939,6.4,45,3077,26.6,175734,28348,null,47376,null,0.14,null,null,75729,11697.6,18353,29.4,10853,41.4,190.6,1387,27261,null,1287.6,2.12,6.28,0.557,177672,0.34,45420,null,"Melbourne - Inner East",16125.7,null,null,20.6,46295,null,26671,null,3326.2,"207",67.5,null,null,23.9,12416,13.2,1234.7,null,null,null,2014,null,null,6991,31.4,12299,47,40
59,1.4,51452,null,21.9,47,18439,null,null,67454,238316,6.8,44,2973,23.3,203157,32990,null,50000,null,0.17,null,null,75878,13703.8,17287,27.8,13239,39.3,201.5,942,25449,null,1182.4,1.99,5.36,0.53,189854,0.37,35842,null,"Melbourne - Inner South",18083.0,null,null,22.6,54685,null,25025,null,3500.6,"208",70.4,null,null,20.6,15156,12.6,1368.5,null,null,null,2014,null,null,7918,32.2,12310,46,40
58,1.2,45865,null,26.0,43,7104,null,null,53079,256600,7.0,41,2405,24.0,236857,33291,null,45730,null,0.2,null,null,55401,12572.1,14717,19.2,28335,29.8,159.0,321,23079,null,679.3,1.77,4.32,0.438,180154,0.41,20406,null,"Melbourne - North East",14216.0,null,null,27.2,29671,null,14228,null,1279.7,"209",79.5,null,null,11.8,32773,7.1,422.2,null,null,null,2014,null,null,6889,22.9,11407,43,38
58,1.3,44473,null,26.8,42,6450,null,null,51113,174242,7.8,41,2642,24.7,159890,23244,null,45004,null,0.2,null,null,52528,8172.4,13434,18.2,24969,28.8,108.5,252,22300,null,427.4,1.75,4.26,0.429,114304,0.41,18386,null,"Melbourne - North West",9152.6,null,null,27.7,28154,null,8010,null,737.2,"210",79.4,null,null,11.0,28504,6.5,225.5,null,null,null,2014,null,null,4867,20.8,11995,43,38
59,1.4,44999,null,26.1,46,7397,null,null,52942,286649,7.0,44,2194,24.8,257898,37583,null,45386,null,0.18,null,null,54567,13653.8,14221,19.2,28009,30.0,194.8,344,22352,null,750.6,1.8,4.51,0.444,209395,0.4,19971,null,"Melbourne - Outer East",15641.6,null,null,26.4,27361,null,18582,null,1548.9,"211",77.4,null,null,13.6,32992,6.9,508.4,null,null,null,2014,null,null,8714,22.6,11596,46,41
58,1.0,42897,null,27.9,43,6073,null,null,48937,375822,7.8,41,2573,25.7,345543,50815,null,43305,null,0.19,null,null,50511,16909.8,11368,18.5,50038,29.1,182.1,237,20929,null,998.4,1.74,4.25,0.431,246267,0.41,19648,null,"Melbourne - South East",18983.2,null,null,27.7,30109,null,18347,null,1495.5,"212",79.6,null,null,11.1,59454,6.6,552.4,null,null,null,2014,null,null,8703,18.7,12601,43,38
57,1.0,46011,null,26.5,40,3974,null,null,51765,352698,6.9,39,2805,23.2,338033,42130,null,46307,null,0.21,null,null,52816,17498.4,12218,16.8,51957,27.3,154.1,162,20488,null,783.7,1.71,4.02,0.409,216003,0.42,18601,null,"Melbourne - West",18628.1,null,null,29.1,28123,null,12701,null,858.4,"213",83.9,null,null,7.8,59244,5.5,357.2,null,null,null,2014,null,null,7521,21.1,11700,40,37
59,1.8,42460,null,27.7,47,10568,null,null,49967,155606,8.3,45,3010,26.2,135634,22955,null,42625,null,0.18,null,null,53109,6777.2,15461,21.3,18715,32.0,126.3,317,22538,null,504.4,1.82,4.55,0.461,104716,0.4,21973,null,"Mornington Peninsula",8264.1,null,null,25.8,39765,null,9977,null,1106.6,"214",73.9,null,null,15.2,21931,8.6,396.7,null,null,null,2014,null,null,5602,20.2,13115,48,41
