yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, sa4_name_2016, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa4_code_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
0.4,27570,7.8,5.1,1.8,1.6,8.5,4.3,524285,86.2,3866,19186,342816,22651,10793,4.2,593694,1.0,1478,10708,4744,16362,4.2,14.3,1741,8.5,28948,0.1,16.3,28655,363,9.5,8.2,49854,539591,5964,22853,293197,8.6,63.0,72.1,25.7,61327,55985,11.3,4.4,18.2,3.8,1091,300502,16.2,5.8,0.3,8715,900,0.8,52296,38.7,3.4,1.6,4508,8.9,0.3,15535,39656,3.4,65.4,"Melbourne - Inner",1.8,12.1,6.6,20394,5.8,320165,"206",8.1,8.0,72.6,1.0,2016,2.1,19717,28.9,10.0,3306,69257,20.9,14651,11.3
0.5,24314,7.9,7.4,1.1,1.4,11.4,4.7,300350,92.0,1882,11217,180113,11510,4787,3.8,281906,0.9,1309,5584,3692,8759,5.1,12.0,2217,9.1,15994,0.1,10.7,10470,438,8.8,9.3,30756,251895,4546,9928,139301,4.5,64.9,66.6,35.4,19963,18983,10.4,4.7,23.1,3.7,339,142603,16.9,7.9,0.2,1147,614,0.7,27675,35.0,4.0,1.6,3232,4.6,0.2,5660,24159,3.1,60.0,"Melbourne - Inner East",1.9,13.3,6.4,12431,7.6,168603,"207",10.7,9.8,70.4,0.9,2016,3.5,6695,26.5,5.9,1402,28708,25.4,7320,7.6
0.8,23090,9.4,9.0,1.8,1.5,9.8,4.5,329844,89.9,2980,15827,209300,11121,5810,4.6,326279,0.6,1791,6492,5045,12954,4.5,12.3,2541,12.1,18501,0.2,11.9,11171,625,9.1,10.2,31313,291711,6151,12422,160886,4.9,59.6,67.3,31.2,19566,23462,8.5,4.0,25.0,3.5,443,165392,17.6,9.3,0.2,1313,812,0.9,30485,32.1,3.7,1.6,4378,5.3,0.2,6983,26747,3.7,63.5,"Melbourne - Inner South",2.3,13.8,5.3,16012,8.2,198179,"208",11.0,9.6,67.2,1.0,2016,3.7,7912,24.6,6.5,1842,33605,24.0,7821,8.4
1.4,29178,14.1,11.8,3.3,1.6,9.2,8.6,399503,85.6,3872,23812,247833,16224,12000,5.8,376435,1.4,2128,5563,6270,21203,4.1,11.9,3904,16.8,16017,0.3,14.5,11588,525,10.8,9.5,40366,339652,8281,18296,193307,4.1,54.2,59.3,32.5,22497,30121,5.5,3.7,23.4,2.6,86,183130,11.8,10.9,0.4,1713,1576,1.2,33830,22.5,6.5,1.6,6160,5.5,0.3,6867,33552,5.1,62.0,"Melbourne - North East",6.0,14.6,6.5,16191,7.6,231609,"209",13.9,9.9,56.9,1.3,2016,5.3,6451,16.2,7.1,2605,23888,18.3,10863,8.8
1.3,23121,14.8,13.2,3.2,1.4,7.6,9.6,288599,83.5,2717,17070,169059,12659,14088,5.9,257017,2.0,1407,4193,4272,14432,3.9,11.4,2985,17.3,11448,0.2,17.0,7152,314,11.1,9.1,22252,230450,6001,12497,137680,3.0,56.7,54.5,35.5,16438,24370,3.8,2.9,19.3,1.8,89,119338,11.0,11.4,0.3,977,1447,1.1,18248,18.3,7.9,1.9,4609,5.9,0.3,4355,22930,5.4,58.6,"Melbourne - North West",8.2,15.0,7.5,11188,7.4,156400,"210",15.7,10.0,51.8,1.2,2016,6.0,3923,12.9,7.8,1612,14078,18.4,6703,9.5
2.1,31809,15.5,14.9,4.1,1.7,9.6,8.1,408056,87.2,2767,28689,261295,13566,8967,6.9,398205,0.7,2302,6495,5326,25450,3.8,11.2,3988,19.7,16671,0.3,11.8,11124,671,10.5,10.5,40157,359099,7442,16163,199547,3.8,50.8,61.0,31.6,20688,27782,4.5,3.2,26.5,2.6,174,198660,12.8,13.9,0.3,3170,1806,1.5,34396,22.0,4.4,1.5,5149,4.4,0.2,6865,37898,4.9,64.0,"Melbourne - Outer East",4.8,14.7,5.2,21927,8.5,247729,"211",15.4,10.1,54.1,1.9,2016,6.1,7306,15.9,5.9,2494,26622,18.9,13084,7.7
1.3,50095,15.0,13.1,3.3,1.4,8.1,11.3,605115,86.0,5227,53739,363696,28003,16265,5.1,557997,2.2,3003,8357,9353,27894,5.0,10.9,6574,16.9,22396,0.2,14.8,13678,610,10.3,9.6,52574,500188,12411,17246,300424,2.7,58.9,56.2,34.6,32721,54977,4.9,3.4,19.7,1.7,264,257572,10.8,10.6,0.2,4898,2405,1.0,34959,18.4,6.1,1.8,9388,5.3,0.3,7934,53901,5.4,60.1,"Melbourne - South East",8.3,13.9,7.7,31471,6.3,335693,"212",16.1,10.2,55.5,1.2,2016,5.6,7578,14.3,6.9,3593,31753,20.6,16184,8.8
1.2,42871,13.1,12.5,3.2,1.3,7.3,10.6,572482,83.6,5858,37202,356266,30051,29773,4.8,547989,1.8,2909,8654,9686,25642,5.4,11.4,6657,16.4,23411,0.3,16.9,15093,715,10.7,9.0,46168,497815,13210,24532,296948,3.4,56.6,56.8,31.7,38332,63807,5.0,3.0,19.7,1.8,405,251036,10.8,10.1,0.3,3291,2803,1.1,33129,18.9,6.4,2.0,10264,6.1,0.3,10778,47868,5.6,62.2,"Melbourne - West",9.7,14.5,8.4,25027,6.0,326215,"213",14.7,9.7,55.7,1.0,2016,5.3,9054,14.9,8.1,4069,32276,20.3,14489,9.7
2.4,16958,17.5,18.1,5.9,1.7,10.1,9.5,237269,81.2,1851,15767,138763,7856,5204,8.0,216142,0.4,1253,4307,3176,15390,1.8,11.0,2333,22.7,8191,0.3,16.1,4912,268,11.8,10.4,22446,192537,4443,9049,108085,3.2,43.7,59.7,35.2,14236,14275,2.5,2.0,25.4,2.1,294,108056,12.6,14.9,0.4,2035,993,1.4,16755,17.6,4.7,1.6,3181,6.3,0.2,4290,21989,5.8,58.5,"Mornington Peninsula",5.4,13.0,5.7,9712,8.8,130907,"214",15.0,11.0,46.3,2.1,2016,7.1,2291,11.4,8.5,1373,11218,15.8,5695,10.6
