yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, sa4_name_2016, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa4_code_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,null,18858,null,null,10671,null,557066,null,null,8848,null,16276,null,null,null,null,26260,null,null,24520,null,null,null,48090,504877,null,23033,276471,null,null,null,null,53974,52838,null,null,null,null,1453,280592,null,null,null,5823,null,null,48986,null,null,null,null,null,null,14364,39504,null,null,"Melbourne - Inner",null,null,null,19560,null,null,"206",null,null,null,null,2014,null,18714,null,null,3380,63242,null,13215,null
null,null,null,null,null,null,null,null,null,null,null,11376,null,null,4879,null,279346,null,null,4900,null,8929,null,null,null,null,14878,null,null,8863,null,null,null,30731,249345,null,10742,138717,null,null,null,null,19091,18910,null,null,null,null,498,140633,null,null,null,884,null,null,27074,null,null,null,null,null,null,5487,24647,null,null,"Melbourne - Inner East",null,null,null,12436,null,null,"207",null,null,null,null,2014,null,6642,null,null,1375,28113,null,7430,null
null,null,null,null,null,null,null,null,null,null,null,16516,null,null,5948,null,320470,null,null,5674,null,13094,null,null,null,null,16795,null,null,9426,null,null,null,30648,285472,null,13188,159369,null,null,null,null,18720,22509,null,null,null,null,616,161098,null,null,null,921,null,null,28569,null,null,null,null,null,null,6704,27556,null,null,"Melbourne - Inner South",null,null,null,15645,null,null,"208",null,null,null,null,2014,null,7902,null,null,1868,32352,null,7632,null
null,null,null,null,null,null,null,null,null,null,null,23772,null,null,11995,null,360629,null,null,4766,null,20992,null,null,null,null,14607,null,null,9342,null,null,null,38548,325426,null,19086,185319,null,null,null,null,20748,27643,null,null,null,null,281,175313,null,null,null,1340,null,null,31087,null,null,null,null,null,null,6510,33444,null,null,"Melbourne - North East",null,null,null,15965,null,null,"209",null,null,null,null,2014,null,6301,null,null,2521,22439,null,10475,null
null,null,null,null,null,null,null,null,null,null,null,17071,null,null,14026,null,244252,null,null,3568,null,13724,null,null,null,null,10030,null,null,5626,null,null,null,20896,219543,null,13306,130513,null,null,null,null,15569,21885,null,null,null,null,113,113739,null,null,null,697,null,null,16391,null,null,null,null,null,null,4044,23306,null,null,"Melbourne - North West",null,null,null,10816,null,null,"210",null,null,null,null,2014,null,3669,null,null,1532,12919,null,6407,null
null,null,null,null,null,null,null,null,null,null,null,29714,null,null,9505,null,394901,null,null,5851,null,25137,null,null,null,null,15501,null,null,9307,null,null,null,39319,355163,null,17493,199601,null,null,null,null,19818,27290,null,null,null,null,350,195300,null,null,null,2824,null,null,32558,null,null,null,null,null,null,6636,38538,null,null,"Melbourne - Outer East",null,null,null,21922,null,null,"211",null,null,null,null,2014,null,7118,null,null,2420,26328,null,13052,null
null,null,null,null,null,null,null,null,null,null,null,52804,null,null,16482,null,528380,null,null,7199,null,26815,null,null,null,null,20187,null,null,10931,null,null,null,48192,474885,null,18523,284597,null,null,null,null,29845,50048,null,null,null,null,484,243784,null,null,null,3864,null,null,32576,null,null,null,null,null,null,7674,52612,null,null,"Melbourne - South East",null,null,null,30960,null,null,"212",null,null,null,null,2014,null,7465,null,null,3628,29541,null,15667,null
null,null,null,null,null,null,null,null,null,null,null,36982,null,null,29834,null,511169,null,null,7310,null,25185,null,null,null,null,20891,null,null,12328,null,null,null,42426,466475,null,25307,275656,null,null,null,null,33467,56491,null,null,null,null,639,235518,null,null,null,2709,null,null,30151,null,null,null,null,null,null,9868,46598,null,null,"Melbourne - West",null,null,null,24125,null,null,"213",null,null,null,null,2014,null,8667,null,null,3868,28867,null,13591,null
null,null,null,null,null,null,null,null,null,null,null,15945,null,null,5416,null,212261,null,null,3816,null,14555,null,null,null,null,7279,null,null,3845,null,null,null,22062,187938,null,9594,107255,null,null,null,null,13385,13899,null,null,null,null,421,105000,null,null,null,1841,null,null,15557,null,null,null,null,null,null,3735,22307,null,null,"Mornington Peninsula",null,null,null,9590,null,null,"214",null,null,null,null,2014,null,2276,null,null,1291,11319,null,5673,null
