yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_prt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_ttl_prsns_agd_nm, occptn_emplyd_prsns_prcntge_of_ttl_cnss_tchncns_trds_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_10_eqvlnt_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_fll_tme_stdyng_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_awy_wrk_stdyng_fl_tme_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_hlth_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_lbrrs_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_ttl_ppltn_and_ovr_nm, yth_15_19_yrs_enggmnt_wrkstdy_cnss_flly_enggd_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_wthn_a_lng_dy_cre, jobs_australia_year_ended_30_june_number_employee_manufacturing, labour_force_status_persons_aged_15_years_census_num, labour_force_status_persons_aged_15_years_census_unemployed_num, jbs_astrla_yr_endd_30_jne_nmbr_emplye_trnsprt_pstl_wrhsng, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_archte_and_bldng_pc, jobs_in_australia_year_ended_30_june_number_of_jobs_persons, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_go_pc, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_rntl_hrng_rl_estte_srvcs, children_attending_preschool_program_1_july_15_hours_num, jobs_australia_year_ended_30_june_number_employee_construction, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_infrmt_tchnlgy_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_scty_and_cltre_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_nm, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_crtfcte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_fnnce_insrnce_srvcs, youth_15_19_years_engagement_workstudy_census_fully_engaged_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_of_indqtly_dscrb_std, hghr_edctn_ln_prgrm_hlp_rpymnts_yr_endd_30_jne_txpyrs_rpymnt_nm, chldrn_enrld_prschl_prgm_4_5_yr_olds_1_jly_acrs_one_prvd_type_n, ocptn_emplyd_prsn_prcntge_of_tl_cns_cmnty_prsnl_srvce_wrks_pc, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_advncd_dplmdplma_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_hlth_cre_scl_assstnce, jobs_australia_year_ended_30_june_number_employee_jobs_total, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_ttl_in_a_nm, jbs_astrla_yr_endd_30_jne_nmbr_emplye_pblc_admnstrtn_sfty, jobs_in_australia_year_ended_30_june_number_of_jobs_males, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_crtve_arts_pc, yth_15_19_yrs_enggmnt_wrkstdy_cnss_stdyng_fll_tme_wrkng_pc, persons_non_school_qualifications_aged_15_years_census_pc, labour_force_status_persons_aged_15_years_census_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_accmmdtn_fd_srvcs, jbs_astrla_yr_endd_30_jne_nmbr_emplye_admnstrtve_spprt_srvcs, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_pstgrdte_dgre_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_ntrl_and_physcl_scn, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_fll_pc, prsn_n_schl_qlfctns_agd_15_yrs_cns_grdte_dplmgrte_crtfe_pc, jobs_australia_year_ended_30_june_number_employee_jobs_mining, jobs_in_australia_year_ended_30_june_number_of_jobs_females, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mngrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_11_eqvlnt_pc, yth_15_19_yrs_engmt_wrkstdy_cns_wrkng_fl_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_agrcltre_frstry_fshng, children_attending_preschool_program_1_july_less_15_hours_num, yth_15_19_yrs_enggmnt_wrkstdy_cnss_wrkng_prt_tme_stdyng_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_edctn_trnng, occptn_emplyd_prsns_prcntge_of_ttl_cnss_prfssnls_pc, highest_year_school_completed_persons_aged_15_years_census_8_pc, occptn_emplyd_prsns_prcntge_of_ttl_cnss_indqtly_dscrbd_pc, chldrn_enrlld_prschl_prgrm_4_5_yr_olds_1_jly_in_a_nm, labour_force_status_persons_aged_15_years_census_stated_pc, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_mxd_prgrmms_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_arts_rcrtn_srvcs, jobs_australia_year_ended_30_june_number_employee_retail_trade, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_fd_hsptly_and_prsnl, lbr_frce_stts_prsns_agd_15_yrs_cnss_prtcptn_rte_pc, sa4_name_2016, occptn_emplyd_prsns_prcntge_of_ttl_cnss_mchnry_oprtrs_drvrs_pc, ocptn_emplyd_prsn_prcntge_of_tl_cns_clr_admnstrve_wrks_pc, lbr_frce_stts_prsns_agd_15_yrs_cnss_unmplymnt_rte_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_whlsle_trde, nn_schl_qlfctn_fld_stdy_prsns_agd_15_yrs_cnss_edctn_pc, labour_force_status_persons_aged_15_years_census_employed_num, sa4_code_2016, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_engr_and_rltd_tchnlg, occptn_emplyd_prsns_prcntge_of_ttl_cnss_sls_wrkrs_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_12_eqvlnt_pc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_agrclte_envrmtl_and, yr, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_9_eqvlnt_pc, jbs_astrla_yr_endd_30_jne_nmbr_emplye_infrmtn_mda_tlcmmnctns, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_bchlr_dgre_pc, hghst_yr_schl_cmpltd_prsns_agd_15_yrs_cnss_of_sttd_pc, jbs_astrl_yr_end_30_jne_nmbr_emply_elctry_gs_wtr_wste_srvc, jbs_astrl_yr_end_30_jne_nmbr_emply_prfsnl_scntf_tchnl_srvc, n_schl_qlfctn_fld_stdy_prsn_agd_15_yrs_cns_mngt_and_cmre_pc, jobs_australia_year_ended_30_june_number_employee_jobs_services, prsns_nn_schl_qlfctns_agd_15_yrs_cnss_indqtly_dscrbd_pc
null,null,null,null,null,null,null,null,null,null,4171,19326,null,null,11372,null,627229,null,1587,11356,5149,17580,null,null,1799,null,29589,null,null,33671,417,null,null,51780,569932,6387,26206,309412,null,null,null,null,65289,63206,null,null,null,null,1263,317817,null,null,null,8534,891,null,54302,null,null,null,4797,null,null,16022,41825,null,null,"Melbourne - Inner",null,null,null,21427,null,null,"206",null,null,null,null,2017,null,20200,null,null,3565,76043,null,15495,null
null,null,null,null,null,null,null,null,null,null,2187,11214,null,null,4949,null,291747,null,1338,5922,3919,9403,null,null,2143,null,15855,null,null,11806,450,null,null,31983,260890,4759,11277,144113,null,null,null,null,21064,20760,null,null,null,null,512,147634,null,null,null,1427,615,null,27744,null,null,null,3427,null,null,5633,25397,null,null,"Melbourne - Inner East",null,null,null,12991,null,null,"207",null,null,null,null,2017,null,6764,null,null,1431,30229,null,7587,null
null,null,null,null,null,null,null,null,null,null,3119,15774,null,null,5914,null,337791,null,1817,6794,5130,13994,null,null,2458,null,18650,null,null,12973,674,null,null,32719,302236,6266,14223,166735,null,null,null,null,20903,25242,null,null,null,null,651,171056,null,null,null,1296,825,null,31067,null,null,null,4445,null,null,7145,28054,null,null,"Melbourne - Inner South",null,null,null,16185,null,null,"208",null,null,null,null,2017,null,8087,null,null,1917,35840,null,7832,null
null,null,null,null,null,null,null,null,null,null,4188,23914,null,null,12264,null,398057,null,2312,6098,6439,22949,null,null,3847,null,16825,null,null,13936,554,null,null,43790,358880,8592,21422,204823,null,null,null,null,24075,33699,null,null,null,null,442,193234,null,null,null,1567,1662,null,34141,null,null,null,6263,null,null,7153,35505,null,null,"Melbourne - North East",null,null,null,17096,null,null,"209",null,null,null,null,2017,null,6808,null,null,2572,26239,null,11253,null
null,null,null,null,null,null,null,null,null,null,2968,17543,null,null,14369,null,275984,null,1596,4614,4648,15980,null,null,3144,null,12018,null,null,8778,341,null,null,24563,247092,6430,14840,148475,null,null,null,null,17360,27805,null,null,null,null,314,127509,null,null,null,1039,1432,null,18860,null,null,null,4863,null,null,4662,24268,null,null,"Melbourne - North West",null,null,null,11791,null,null,"210",null,null,null,null,2017,null,4122,null,null,1711,15836,null,7159,null
null,null,null,null,null,null,null,null,null,null,3114,28841,null,null,8988,null,408992,null,2351,6655,6175,27162,null,null,3973,null,16690,null,null,13089,808,null,null,42197,368736,7878,18543,205333,null,null,null,null,21353,29492,null,null,null,null,559,203659,null,null,null,3043,1346,null,34318,null,null,null,5516,null,null,7128,38651,null,null,"Melbourne - Outer East",null,null,null,22123,null,null,"211",null,null,null,null,2017,null,7369,null,null,2519,28727,null,13231,null
null,null,null,null,null,null,null,null,null,null,5443,54622,null,null,17077,null,594058,null,3275,9173,9881,30511,null,null,6876,null,23296,null,null,16200,679,null,null,57026,532082,12995,20493,321087,null,null,null,null,36240,61171,null,null,null,null,754,272971,null,null,null,5109,2455,null,35799,null,null,null,9720,null,null,8712,57189,null,null,"Melbourne - South East",null,null,null,33072,null,null,"212",null,null,null,null,2017,null,8162,null,null,3765,35023,null,16947,null
null,null,null,null,null,null,null,null,null,null,6487,37044,null,null,30057,null,579535,null,3172,9303,10574,27994,null,null,6983,null,24425,null,null,17970,931,null,null,49327,525988,14378,27757,315587,null,null,null,null,39689,71882,null,null,null,null,743,263948,null,null,null,3199,3027,null,33939,null,null,null,11203,null,null,10673,51078,null,null,"Melbourne - West",null,null,null,25840,null,null,"213",null,null,null,null,2017,null,9651,null,null,4212,36239,null,15473,null
null,null,null,null,null,null,null,null,null,null,1961,15850,null,null,5268,null,222901,null,1388,4665,3478,16333,null,null,2347,null,8016,null,null,5973,322,null,null,24021,198555,4605,10333,111219,null,null,null,null,14729,15013,null,null,null,null,370,111682,null,null,null,2024,908,null,15992,null,null,null,3227,null,null,4628,22483,null,null,"Mornington Peninsula",null,null,null,10054,null,null,"214",null,null,null,null,2017,null,2487,null,null,1439,12100,null,5794,null
