sold_both_auction_private_treaty_detailedposition10price, sold_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition60price, for_sale_both_auction_private_treaty_detailedposition45price, datemonth, sold_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition45price, for_rent_home_lease_detailedposition30price, for_sale_both_auction_private_treaty_detailedposition25price, sold_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_position25price, for_rent_home_lease_detailedpricecalcreccount, sold_both_auction_private_treaty_detailedposition50price, for_rent_home_lease_eventcount, for_sale_both_auction_private_treaty_detailedposition65price, for_sale_both_auction_private_treaty_detailedposition40price, propertycategorisation, auction_activity_auctiontotalsold, for_sale_both_auction_private_treaty_detailedposition15price, for_sale_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition75price, for_sale_both_auction_private_treaty_position75price, auction_activity_auctionlistedcount, sold_private_treaty_daysonmarketrecordcount, auction_activity_auctionwithdrawncount, gid, sold_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedpricecalcreccount, for_rent_home_lease_detailedposition80price, enddate, sold_both_auction_private_treaty_detailedposition05price, for_rent_home_lease_detailedposition65price, sold_both_auction_private_treaty_standarddeviationprice, for_sale_both_auction_private_treaty_eventcount, sold_both_auction_private_treaty_detailedposition90price, for_rent_home_lease_detailedposition20price, sa42016id, for_sale_both_auction_private_treaty_minimumprice, for_rent_home_lease_detailedposition35price, auction_activity_auctionpostponedcount, sold_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_geometricmeanprice, for_rent_home_lease_detailedposition90price, for_rent_home_lease_detailedposition15price, sold_both_auction_private_treaty_position75price, sold_both_auction_private_treaty_detailedposition85price, for_sale_both_auction_private_treaty_detailedposition20price, for_rent_home_lease_averageprice, for_sale_both_auction_private_treaty_detailedposition90price, sold_private_treaty_averagediscount, for_rent_home_lease_pricecalcreccount, for_rent_home_lease_detailedposition05price, gross_rental_yield, sa42016code, for_sale_both_auction_private_treaty_detailedpricecalcreccount, for_sale_both_auction_private_treaty_detailedposition70price, for_rent_home_lease_maximumprice, auction_activity_auctionsoldpriorcount, sold_both_auction_private_treaty_position25price, for_sale_both_auction_private_treaty_detailedposition05price, for_sale_both_auction_private_treaty_detailedposition85price, for_rent_home_lease_standarddeviationprice, for_sale_both_auction_private_treaty_detailedposition35price, for_sale_both_auction_private_treaty_pricecalcreccount, sa42016name, sold_both_auction_private_treaty_medianprice, sold_both_auction_private_treaty_detailedposition75price, for_sale_both_auction_private_treaty_detailedposition55price, sold_both_auction_private_treaty_detailedposition35price, sold_both_auction_private_treaty_eventcount, sa42016pid, for_sale_both_auction_private_treaty_detailedposition30price, for_sale_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition15price, sold_both_auction_private_treaty_detailedposition80price, for_rent_home_lease_detailedposition10price, for_rent_home_lease_detailedposition85price, sold_both_auction_private_treaty_totalprice, sold_both_auction_private_treaty_detailedposition70price, for_sale_both_auction_private_treaty_geometricmeanprice, auction_activity_auctionclearancerate, sold_both_auction_private_treaty_detailedposition60price, auction_activity_auctionnotsoldcount, sold_both_auction_private_treaty_detailedposition45price, for_rent_home_lease_medianprice, for_sale_both_auction_private_treaty_detailedposition75price, for_rent_home_lease_totalprice, for_sale_both_auction_private_treaty_medianprice, for_rent_home_lease_detailedposition95price, sold_both_auction_private_treaty_detailedposition95price, dateyear, auction_activity_auctionsoldunderhammercount, sold_both_auction_private_treaty_geometricmeanprice, for_rent_home_lease_position25price, state, for_rent_home_lease_position75price, for_rent_home_lease_detailedposition40price, for_sale_both_auction_private_treaty_detailedposition50price, for_sale_both_auction_private_treaty_detailedposition10price, for_sale_both_auction_private_treaty_standarddeviationprice, for_rent_home_lease_detailedposition55price, sold_both_auction_private_treaty_detailedposition40price, for_rent_home_lease_detailedposition50price, sold_both_auction_private_treaty_averageprice, for_sale_both_auction_private_treaty_detailedposition95price, auction_activity_auctiontotalreported, sold_private_treaty_averagedaysonmarket, auction_activity_auctionsoldaftercount, for_sale_both_auction_private_treaty_averageprice, for_rent_home_lease_detailedposition70price, sold_private_treaty_discountrecordcount, for_sale_both_auction_private_treaty_maximumprice, for_rent_home_lease_detailedposition60price, for_rent_home_lease_minimumprice, for_rent_home_lease_detailedposition25price, sold_both_auction_private_treaty_pricecalcreccount, sold_both_auction_private_treaty_maximumprice, sold_both_auction_private_treaty_detailedposition25price
326000.0,619950.0,550000,479000,9,68000,420,380,390000,430000.0,390000,34662,535000.0,34669,580000,450000,"Unit",2384.0,345000,700000,545,650000,3485.0,4978,182.0,null,560000.0,9396,570,"30/09/2017 12:00:00 AM",280000.0,495,543513.3,14088,1004900.0,345,79,15000,390,88.0,385000.0,443.3614,650,320,693888.0,850000.0,367500,468.4118,923400,0.06614980000000001,34662,270,0.04179439,206,12622,600000,9594,592.0,410000.0,250000,780000,180.1797,430000,12622,"Melbourne - Inner",535000.0,693888.0,530000,453750.0,9574,"SA4_16206",405000,7.855665E9,360000.0,753000.0,300,600,6.10335E9,650000.0,519515.6,0.6583816,590000.0,1053.0,510000.0,430.0,650000,1.623609E7,500000.0,750,1395000.0,2017,1792.0,555492.1,360,"VIC",545,400,500000,307500,690408.6,450,480000.0,430,649569.0,1317000.0,3621.0,101.0,95.0,622378.8,520,1938,2.49375E7,470,28,360,9396,1.5E7,410000.0
385000.0,719000.0,600000,539000,9,98000,390,355,439000,510000.0,439000,7387,616900.0,7388,635000,505000,"Unit",736.0,380000,770000,460,710000,988.0,1000,34.0,null,645000.0,2089,480,"30/09/2017 12:00:00 AM",340000.0,430,338833.6,3198,1095000.0,330,80,55000,370,10.0,450000.0,388.358,530,295,815000.0,950000.0,400000,404.9316,990000,0.07239027,7387,220,0.03371697,207,2526,679000,1782,112.0,485000.0,200000,850000,119.6653,488775,2526,"Melbourne - Inner East",616900.0,815000.0,585000,540000.0,2107,"SA4_16207",455000,1.6038E9,416000.0,870000.0,245,500,1.439145E9,767000.0,552113.4,0.7111111,677000.0,265.0,591000.0,400.0,710000,2991230.0,556500.0,595,1270000.0,2017,624.0,626553.6,350,"VIC",460,380,556500,349000,489557.3,410,565000.0,400,688915.9,1260000.0,1035.0,92.0,22.0,634916.9,450,266,1.7E7,420,22,350,2089,4900000.0,485000.0
350000.0,675000.0,579000,500000,9,110000,390,350,410000,485000.0,410000,8575,590000.0,8576,600000,489980,"Unit",1203.0,360000,739950,470,690000,1558.0,1300,34.0,null,620000.0,2901,495,"30/09/2017 12:00:00 AM",301300.0,440,393472.9,3712,1008000.0,320,81,10000,360,27.0,422500.0,400.3197,560,300,770000.0,905000.0,390000,418.3088,930000,0.06171032,8575,260,0.03525424,208,2958,650000,2750,249.0,455000.0,285000,800000,142.0343,460000,2958,"Melbourne - Inner South",590000.0,770000.0,550000,507500.0,2933,"SA4_16208",440000,1.841917E9,395000.0,830000.0,280,520,1.94389E9,720000.0,544294.9,0.7551789000000001,645000.0,343.0,562000.0,400.0,690000,3586998.0,530000.0,650,1275000.0,2017,954.0,601128.6,335,"VIC",470,375,530000,325000,431404.0,410,530500.0,400,670075.9,1265000.0,1593.0,65.0,38.0,622689.9,450,318,8000000.0,420,60,335,2901,5600000.0,455000.0
310000.0,505000.0,450000,399000,9,130000,340,320,345000,380000.0,345000,4022,440000.0,4023,480500,385000,"Unit",489.0,300000,567500,390,540000,649.0,736,15.0,null,455000.0,1611,400,"30/09/2017 12:00:00 AM",272000.0,370,170808.6,1878,690000.0,300,82,70000,320,6.0,350000.0,345.69599999999997,440,290,559320.0,629000.0,321500,353.1186,670000,0.04619801,4022,250,0.04077273,209,1582,500000,790,98.0,365000.0,256000,600000,74.62909,370000,1582,"Melbourne - North East",440000.0,559320.0,430000,392000.0,1616,"SA4_16209",355000,7.200982E8,332500.0,590000.0,280,420,7.678069E8,530000.0,425201.3,0.7523076999999999,471150.0,142.0,422000.0,345.0,540000,1420243.0,410000.0,480,785000.0,2017,391.0,451033.1,310,"VIC",390,330,410000,280000,182065.0,350,410000.0,345,476602.7,780000.0,650.0,88.0,13.0,455182.2,380,159,1900000.0,360,76,310,1611,1977000.0,365000.0
305000.0,470000.0,395000,355000,9,140000,340,320,320000,355600.0,320000,1541,420000.0,1541,400000,349000,"Unit",193.0,299000,470000,375,450000,246.0,393,1.0,null,432000.0,773,390,"30/09/2017 12:00:00 AM",282000.0,360,130419.7,692,615000.0,300,83,25000,325,3.0,333000.0,341.1194,420,295,510000.0,575000.0,300000,346.4568,572500,0.05008712,1541,250,0.04209524,210,625,420000,675,49.0,345000.0,260000,510000,60.697590000000005,340000,625,"Melbourne - North West",420000.0,510000.0,380000,365100.0,778,"SA4_16210",330000,2.480424E8,320000.0,535000.0,280,400,3.40651E8,490000.0,379034.7,0.7628459,450000.0,56.0,396000.0,340.0,450000,533890.0,370000.0,450,715000.0,2017,144.0,423031.3,310,"VIC",375,330,370000,285000,122503.2,350,380000.0,340,440686.9,650000.0,253.0,75.0,9.0,396867.8,370,98,920000.0,350,77,310,773,950000.0,345000.0
372000.0,580000.0,500000,460000,9,70100,350,330,400000,455100.0,400000,2605,525000.0,2606,525000,450000,"Unit",246.0,370000,590000,390,560000,318.0,875,9.0,null,540250.0,1354,400,"30/09/2017 12:00:00 AM",334000.0,370,217065.5,1442,730000.0,320,84,46500,340,6.0,417000.0,355.2411,430,310,630000.0,685000.0,390000,359.8887,659950,0.04532551,2605,280,0.03466666,211,1299,545000,800,50.0,440000.0,320000,619000,57.39406999999999,439950,1299,"Melbourne - Outer East",525000.0,630000.0,490000,475000.0,1364,"SA4_16211",420000,6.439096E8,396500.0,650000.0,300,410,7.413987E8,600000.0,477711.2,0.7663552,560000.0,65.0,510000.0,350.0,560000,937510.0,480000.0,450,800000.0,2017,196.0,523476.3,325,"VIC",390,345,480000,350000,144779.9,360,492000.0,350,547561.8,748125.0,321.0,39.0,9.0,495696.4,380,89,2350000.0,370,79,325,1354,5900000.0,440000.0
262000.0,460000.0,390000,350000,9,136500,320,290,300000,340000.0,300000,4849,400235.0,4849,400000,340000,"Unit",301.0,270000,480000,380,450000,439.0,1028,21.0,null,420000.0,1566,400,"30/09/2017 12:00:00 AM",235000.0,360,215429.2,2450,781000.0,270,85,23000,300,17.0,305000.0,329.7407,450,255,559000.0,695000.0,287500,339.8843,608475,0.05666191,4849,230,0.04287401,212,2088,420000,1782,63.0,322000.0,210000,535000,88.02991999999999,327000,2088,"Melbourne - South East",400242.5,559000.0,375000,350000.0,1586,"SA4_16212",315000,8.438565E8,285000.0,615000.0,245,420,7.292248E8,496772.0,371799.0,0.7099057,440000.0,110.0,383000.0,330.0,450000,1648099.0,365000.0,500,882000.0,2017,238.0,425698.4,280,"VIC",380,310,365000,250000,194245.1,340,365000.0,330,465660.8,750000.0,424.0,91.0,14.0,404145.8,370,193,3700000.0,350,48,280,1566,1620000.0,322000.0
258000.0,450000.0,400000,360000,9,96000,320,290,300000,330000.0,300000,5135,395000.0,5136,420000,349900,"Unit",394.0,270000,500000,370,465000,566.0,1188,36.0,null,410000.0,1939,390,"30/09/2017 12:00:00 AM",215000.0,350,184738.3,2316,650000.0,270,86,20000,300,22.0,305000.0,324.0122,430,260,500000.0,595000.0,290000,335.1568,605000,0.05818463,5135,220,0.04212658,213,2165,445000,8500,139.0,318500.0,202500,550000,144.44,330000,2165,"Melbourne - West",395000.0,500000.0,390000,347000.0,1945,"SA4_16213",315000,9.769414E8,285000.0,537500.0,240,400,8.341097E8,475000.0,376064.9,0.6610738,430000.0,169.0,378000.0,320.0,465000,1721030.0,375000.0,475,750000.0,2017,255.0,400196.1,280,"VIC",370,310,375000,245000,2151685.0,330,360000.0,320,430175.2,700000.0,596.0,99.0,17.0,451243.2,360,303,1.001989E8,340,51,280,1939,3135000.0,318500.0
287500.0,461000.0,410000,365000,9,87001,300,280,309000,357143.0,309000,1450,410000.0,1450,425000,350000,"Unit",102.0,279000,500000,360,475000,122.0,728,7.0,null,425000.0,1055,375,"30/09/2017 12:00:00 AM",255000.0,340,196367.7,1211,650000.0,250,87,34913,290,2.0,325500.0,309.4071,415,240,517000.0,595000.0,290000,319.3641,625000,0.04690476,1450,200,0.03931707,214,1144,450000,1477,27.0,346780.0,199950,550000,84.67474,340000,1144,"Mornington Peninsula",410000.0,517000.0,390000,367500.0,1073,"SA4_16214",320000,4.796842E8,307500.0,559500.0,225,395,4.781848E8,485000.0,379917.3,0.7445255999999999,441750.0,28.0,395500.0,310.0,475000,463078.0,380000.0,460,755000.0,2017,75.0,423228.8,270,"VIC",360,295,380000,250000,214665.7,320,380000.0,310,453255.7,750000.0,137.0,52.0,3.0,419304.3,350,117,2443875.0,330,115,270,1055,2350000.0,346780.0
