geography_name,rai_cityadjusted_total_2011_q2,rai_cityadjusted_total_2011_q3,rai_cityadjusted_total_2020_q1,rai_cityadjusted_total_2011_q1,state,rai_cityadjusted_total_2019_q4,rai_cityadjusted_total_2020_q3,rai_cityadjusted_total_2020_q2,rai_cityadjusted_total_2011_q4,rai_cityadjusted_total_2020_q4,city,unique_id,rai_cityadjusted_total_2017_q4,rai_cityadjusted_total_2017_q3,rai_cityadjusted_total_2017_q2,rai_cityadjusted_total_2018_q1,rai_cityadjusted_total_2018_q2,rai_cityadjusted_total_2013_q1,rai_cityadjusted_total_2021_q2,rai_cityadjusted_total_2021_q1,rai_cityadjusted_total_2013_q3,rai_cityadjusted_total_2013_q2,rai_cityadjusted_total_2013_q4,rai_cityadjusted_total_2017_q1,rai_cityadjusted_total_2018_q4,rai_cityadjusted_total_2018_q3,rai_cityadjusted_total_2019_q3,rai_cityadjusted_total_2019_q2,rai_cityadjusted_total_2019_q1,rai_cityadjusted_total_2016_q3,rai_cityadjusted_total_2016_q4,rai_cityadjusted_total_2016_q1,rai_cityadjusted_total_2016_q2,rai_cityadjusted_total_2015_q2,rai_cityadjusted_total_2012_q2,rai_cityadjusted_total_2015_q3,rai_cityadjusted_total_2012_q1,rai_cityadjusted_total_2014_q3,rai_cityadjusted_total_2012_q4,rai_cityadjusted_total_2015_q1,rai_cityadjusted_total_2014_q4,rai_cityadjusted_total_2012_q3,rai_cityadjusted_total_2014_q1,rai_cityadjusted_total_2014_q2,rai_cityadjusted_total_2015_q4
"3160",131.1189,135.2163,127.4597,122.3776,"VIC",123.1634,null,115.3858,123.6264,128.2051,"Greater Melbourne",1450,115.3846,134.8651,129.8077,127.4186,122.1719,128.2051,122.7496,106.8376,126.4489,146.5201,129.1017,131.4508,114.7471,110.4746,124.5629,137.0192,126.6417,129.0486,114.0429,115.3846,129.0486,124.7401,116.9439,124.7401,136.281,129.1017,131.8681,125.5887,131.774,137.3626,130.0108,135.7466,122.5962
"3163",133.1361,128.2051,124.5629,118.7783,"VIC",128.9593,144.2308,130.4945,131.1189,144.2308,"Greater Melbourne",1453,129.8077,129.8077,133.1361,123.6264,125.1158,131.8681,147.929,144.2308,131.8681,131.8681,131.8681,126.6417,120.7513,123.6264,130.4945,133.6773,120.7513,130.7692,125.7396,130.7692,129.0486,128.2051,123.6264,128.2051,127.2624,128.2051,133.7793,130.0108,131.8681,127.2624,131.8681,130.0108,136.2179
"3165",103.022,106.8376,103.4107,93.37483,"VIC",99.65035,113.1222,99.65035,100.6261,113.1222,"Greater Melbourne",1454,98.43237,105.9655,103.8462,104.8951,97.05248,102.5641,110.9467,111.4827,107.3345,106.1008,97.6801,108.1731,92.71978,94.40559,100.5646,101.4957,99.85207,106.6054,99.0676,108.9744,108.9744,100.3344,96.15385,102.5641,98.33916,100.3344,106.1008,102.5641,102.5641,106.1822,106.1008,100.3344,108.9744
"3166",120.1923,120.1923,119.1472,104.2184,"VIC",119.1472,131.1189,121.7949,113.8664,134.1682,"Greater Melbourne",1455,120.7513,120.7513,123.6264,115.3846,120.0534,118.3432,144.2308,135.7466,121.4575,122.2618,122.2618,120.7513,120.7513,123.6264,124.5629,121.7949,112.8763,124.148,122.5962,116.7582,119.606,112.5704,116.9439,116.8452,116.9439,116.2565,124.7401,118.3432,116.2565,115.3846,121.4575,115.3846,121.0826
"3167",123.6264,120.1923,114.1827,106.2753,"VIC",116.6121,129.6456,127.4597,113.8664,137.3626,"Greater Melbourne",1456,118.007,114.1167,120.7513,111.6625,115.3846,124.7401,121.4575,128.2051,131.8681,121.4575,123.0769,125.1158,108.1731,119.3634,130.4945,121.7949,120.7513,121.0826,114.0429,111.451,112.7321,111.2141,108.1731,110.5481,116.159,109.8901,124.7401,107.9622,121.4575,120.1923,116.8452,121.4575,122.5962
"3168",131.1189,123.6264,137.0192,118.7783,"VIC",137.0192,144.2308,138.7537,131.1189,147.929,"Greater Melbourne",1457,136.6397,136.6397,133.1361,136.6397,136.6397,142.0118,153.8462,151.8219,135.7466,131.8681,131.8681,142.255,133.1361,133.1361,137.0192,134.3326,133.1361,136.2179,132.5364,140.1099,132.5364,131.8681,131.1189,131.8681,131.1189,131.8681,139.8601,131.8681,128.2051,131.1189,135.7466,128.2051,132.5364
"3169",127.2624,131.1189,128.9593,122.3776,"VIC",124.5629,144.2308,132.0667,127.2624,144.2308,"Greater Melbourne",1458,133.1361,133.1361,136.6397,129.8077,133.1361,133.7793,145.1379,144.2308,135.7466,139.8601,131.8681,136.6397,129.8077,129.8077,130.4945,130.4945,115.3846,132.5364,129.0486,132.5364,136.2179,124.7401,131.1189,126.4489,131.1189,128.2051,144.2308,128.2051,131.8681,127.2624,128.2051,128.2051,136.2179
"3170",121.8852,109.5424,121.7949,112.1795,"VIC",116.6121,134.1682,119.1472,110.9467,134.1682,"Greater Melbourne",1459,117.3403,118.007,122.1719,115.3846,113.4931,126.4489,125.4181,125.4181,123.0769,115.3846,121.4575,120.7513,110.4746,115.3846,119.1472,116.6121,112.2661,114.0429,116.0674,118.165,116.7582,109.8901,118.5458,112.5704,113.8664,107.3345,124.7401,115.0969,115.3846,99.4695,119.8801,117.5894,119.606
"3171",144.2308,139.5782,140.5325,134.6154,"VIC",146.1538,151.8219,139.8155,139.5782,155.9252,"Greater Melbourne",1460,144.2308,138.4615,148.3516,140.3326,136.6397,148.8834,148.8834,151.8219,144.2308,153.8462,150.0938,140.3326,136.6397,133.1361,143.2881,148.1289,136.6397,136.2179,138.1365,142.1405,140.1099,135.7466,144.2308,134.7558,144.2308,144.2308,150.0938,142.8912,139.8601,141.6341,148.8834,145.3664,145.2991
"3173",123.6264,127.2624,114.1827,115.3846,"VIC",119.1472,122.7496,119.1472,123.6264,128.2051,"Greater Melbourne",1462,115.3846,115.3846,120.7513,115.3846,113.4931,130.0108,128.2051,128.2051,131.4924,131.8681,124.7401,118.007,111.6625,110.4746,114.1827,116.6121,108.1731,114.0429,111.451,122.5962,119.606,109.8901,127.2624,115.3846,123.6264,124.7401,131.8681,121.4575,115.3846,123.6264,124.7401,121.4575,119.606
